gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000131095	10	1	9	0.09132272630900674	0.437360732854667	0.03986135181975736	0.3974993810349096	AD
ENSG00000225523	52	114	-62	-0.8696183407627855	0.6666254023273087	0.7530329289428076	-0.08640752661549889	Control
ENSG00000168875	54	113	-59	-0.8290151970836958	0.6717009160683337	0.7520425847982174	-0.08034166872988369	Control
ENSG00000230342	47	105	-58	-0.8154808158573325	0.6548650656102996	0.7376825947016589	-0.08281752909135931	Control
ENSG00000128683	299	140	159	2.121479910263498	0.8785590492696211	0.7784104976479327	0.10014855162168845	AD
ENSG00000163295	43	90	-47	-0.6666026223673365	0.6438474870017331	0.716142609556821	-0.07229512255508785	Control
ENSG00000175175	668	501	167	2.2297549600744038	0.9830403565238921	0.9616241643971281	0.021416192126764044	AD
ENSG00000225275	52	112	-60	-0.8425495783100589	0.6666254023273087	0.7504332755632582	-0.08380787323594951	Control
ENSG00000211599	43	112	-69	-0.9643590093473284	0.6438474870017331	0.7504332755632582	-0.10658578856152512	Control
ENSG00000149269	742	612	130	1.7289828546989627	0.9957910373854915	0.985887595939589	0.009903441445902494	AD
ENSG00000155097	828	795	33	0.4161478757417253	1	0.9997524139638524	2.4758603614760677e-4	AD
ENSG00000102409	256	110	146	1.945532954320775	0.85751423619707845	0.7462243129487497	0.11128992324832876	AD
ENSG00000157064	792	782	10	0.10485710753537002	0.9982668977469671	0.9995048279277049	-0.0012379301807378118	AD
ENSG00000061918	766	686	80	1.052263793380799	0.9972765536023769	0.9954196583312701	0.0018568952711067732	AD
ENSG00000133169	316	177	139	1.8507922857362322	0.885986630354048	0.8109680614013369	0.07501856895271108	AD
ENSG00000198888	5	11	-6	-0.11169299208644234	0.3247090864075266	0.35070562020302054	-0.025996533795493937	Control
ENSG00000113327	824	758	66	0.8627824562117133	0.9995048279277049	0.9985144837831146	9.90344144590316e-4	AD
ENSG00000147416	725	600	125	1.6613109485671465	0.9936865560782372	0.9839069076504086	0.009779648427828636	AD
ENSG00000178828	57	67	-10	-0.16583051699189544	0.6794998762069819	0.672691260212924	0.006808615994057909	Control
ENSG00000107295	699	557	142	1.891395429415322	0.9878682842287695	0.9752413963852439	0.012626887843525614	AD
ENSG00000114573	749	760	-11	-0.1793648982182587	0.9965337954939342	0.9988858628373359	-0.0023520673434017647	Control
ENSG00000213190	827	720	107	1.4176920864926075	0.9997524139638524	0.997771725674672	0.00198068828918041	AD
ENSG00000163536	718	677	41	0.5244229255526315	0.9919534538252043	0.9933151770240158	-0.0013617231988115597	AD
ENSG00000073969	793	682	111	1.4718296113980605	0.9986382768011884	0.9945531072047537	0.00408516959643479	AD
ENSG00000050748	761	747	14	0.1589946324408231	0.9970289675662293	0.9982668977469671	-0.0012379301807378118	AD
ENSG00000198825	777	620	157	2.094411147810771	0.997771725674672	0.9873731121564744	0.010398613518197597	AD
ENSG00000133083	708	557	151	2.0132048604525914	0.9896013864818024	0.9752413963852439	0.014359990096558528	AD
ENSG00000114279	711	534	177	2.3650987723380363	0.9903441445902451	0.9697945035899975	0.020549641000247587	AD
ENSG00000014641	634	458	176	2.351564391111673	0.9783362218370883	0.9507303788066354	0.027605843030452992	AD
ENSG00000173726	645	590	55	0.7139042627217173	0.9799455310720475	0.9816786333250804	-0.0017331022530329143	AD
ENSG00000198763	7	7	0	-0.030486704728262697	0.3815300817033919	0.2742015350334241	0.10732854666996783	Control
ENSG00000158560	693	615	78	1.0251950309280726	0.987001733102253	0.9866303540480317	3.7137905422135464e-4	AD
ENSG00000139112	748	683	65	0.84924807498535	0.9962862094577866	0.9950482792770488	0.0012379301807378118	AD
ENSG00000165943	590	598	-8	-0.1387617545391689	0.9707848477345877	0.9834117355781133	-0.012626887843525614	Control
ENSG00000070087	793	767	26	0.32140720715718235	0.9986382768011884	0.9992572418915573	-6.189650903688504e-4	AD
ENSG00000107758	800	799	1	-0.016952323501899427	0.9990096558554098	1	-9.90344144590205e-4	AD
ENSG00000185760	623	649	-26	-0.38238061661370776	0.9761079475117603	0.9900965585540975	-0.013988611042337173	Control
ENSG00000138757	580	609	-29	-0.4229837602927976	0.9670710571923743	0.9853924238672939	-0.01832136667491957	Control
ENSG00000164588	538	604	-66	-0.9237558656682386	0.9535776182223322	0.9848972517949988	-0.03131963357266654	Control
ENSG00000125814	786	668	118	1.5665702799826033	0.9980193117108195	0.9925724189155731	0.00544689279524635	AD
ENSG00000198513	805	686	119	1.5801046612089666	0.9992572418915573	0.9954196583312701	0.0038375835602871833	AD
ENSG00000213585	671	633	38	0.4838197818735417	0.9837831146323347	0.9884872493191385	-0.0047041346868037515	AD
ENSG00000120265	700	719	-19	-0.28763994802916487	0.9882396632829908	0.9975241396385244	-0.009284476355533533	Control
ENSG00000133134	236	106	130	1.7289828546989627	0.8460014855162169	0.7395394899727655	0.10646199554345137	AD
ENSG00000019505	706	690	16	0.18606339489354964	0.9888586283733597	0.9960386234216391	-0.007179995048279375	AD
ENSG00000091972	725	595	130	1.7289828546989627	0.9936865560782372	0.9826689774696707	0.011017578608566447	AD
ENSG00000057757	621	387	234	3.136558502240743	0.9756127754394652	0.9262193612280267	0.0493934142114385	AD
ENSG00000075340	504	461	43	0.5514916880053581	0.9461500371379055	0.9515969299331518	-0.00544689279524635	AD
ENSG00000040933	535	557	-22	-0.3282430917082547	0.9524634810596683	0.9752413963852439	-0.022777915325575604	Control
ENSG00000065154	456	379	77	1.0116606497017093	0.9326565981678633	0.9234959148304036	0.009160683337459674	AD
ENSG00000097021	554	612	-58	-0.8154808158573325	0.9603862342163902	0.985887595939589	-0.025501361723198723	Control
ENSG00000109738	681	613	68	0.8898512186644398	0.9853924238672939	0.9863827680118842	-9.90344144590316e-4	AD
ENSG00000120053	770	709	61	0.795110550079897	0.9975241396385244	0.9967813815300817	7.427581084427093e-4	AD
ENSG00000154174	708	663	45	0.5785604504580846	0.9896013864818024	0.9914582817529092	-0.0018568952711067732	AD
ENSG00000131100	715	631	84	1.1064013182862522	0.9913344887348353	0.9878682842287695	0.0034662045060658286	AD
ENSG00000168824	739	594	145	1.9319985730944118	0.9955434513493439	0.9824213914335231	0.013122059915820716	AD
ENSG00000239513	64	120	-56	-0.7884120534046059	0.6934884872493191	0.758479821738054	-0.06499133448873484	Control
ENSG00000240694	584	529	55	0.7139042627217173	0.9689279524634811	0.967813815300817	0.001114137162664064	AD
ENSG00000197885	591	553	38	0.4838197818735417	0.9714038128249567	0.9742510522406537	-0.0028472394156969782	AD
ENSG00000118733	733	640	93	1.2282107493235217	0.9948006932409013	0.9893538004456549	0.00544689279524635	AD
ENSG00000171132	510	495	15	0.17252901366718637	0.9480069324090121	0.9601386481802426	-0.012131715771230511	AD
ENSG00000119125	656	535	121	1.6071734236616932	0.9810596682347116	0.9702896756622926	0.010769992572418952	AD
ENSG00000142875	721	666	55	0.7139042627217173	0.9925724189155731	0.9919534538252043	6.189650903688504e-4	AD
ENSG00000066248	390	434	-44	-0.6259994786882467	0.911983164149542	0.9433027977222085	-0.03131963357266654	Control
ENSG00000257732	51	88	-37	-0.5312588101037037	0.6641495419658331	0.713295370141124	-0.049145828175290895	Control
ENSG00000183715	724	760	-36	-0.5177244288773405	0.9931913840059421	0.9988858628373359	-0.0056944788313938455	Control
ENSG00000250497	24	58	-34	-0.4906556664246139	0.5630106461995543	0.6531319633572666	-0.09012131715771232	Control
ENSG00000102003	698	544	154	2.0538080041316813	0.9874969051745481	0.9720227779153255	0.015474127259222592	AD
