gene	AD	CTL
ENSG00000131095	10	1
ENSG00000225523	52	114
ENSG00000168875	54	113
ENSG00000230342	47	105
ENSG00000128683	299	140
ENSG00000163295	43	90
ENSG00000175175	668	501
ENSG00000225275	52	112
ENSG00000211599	43	112
ENSG00000149269	742	612
ENSG00000155097	828	795
ENSG00000102409	256	110
ENSG00000157064	792	782
ENSG00000061918	766	686
ENSG00000133169	316	177
ENSG00000198888	5	11
ENSG00000113327	824	758
ENSG00000147416	725	600
ENSG00000178828	57	67
ENSG00000107295	699	557
ENSG00000114573	749	760
ENSG00000213190	827	720
ENSG00000163536	718	677
ENSG00000073969	793	682
ENSG00000050748	761	747
ENSG00000198825	777	620
ENSG00000133083	708	557
ENSG00000114279	711	534
ENSG00000014641	634	458
ENSG00000173726	645	590
ENSG00000198763	7	7
ENSG00000158560	693	615
ENSG00000139112	748	683
ENSG00000165943	590	598
ENSG00000070087	793	767
ENSG00000107758	800	799
ENSG00000185760	623	649
ENSG00000138757	580	609
ENSG00000164588	538	604
ENSG00000125814	786	668
ENSG00000198513	805	686
ENSG00000213585	671	633
ENSG00000120265	700	719
ENSG00000133134	236	106
ENSG00000019505	706	690
ENSG00000091972	725	595
ENSG00000057757	621	387
ENSG00000075340	504	461
ENSG00000040933	535	557
ENSG00000065154	456	379
ENSG00000097021	554	612
ENSG00000109738	681	613
ENSG00000120053	770	709
ENSG00000154174	708	663
ENSG00000131100	715	631
ENSG00000168824	739	594
ENSG00000239513	64	120
ENSG00000240694	584	529
ENSG00000197885	591	553
ENSG00000118733	733	640
ENSG00000171132	510	495
ENSG00000119125	656	535
ENSG00000142875	721	666
ENSG00000066248	390	434
ENSG00000257732	51	88
ENSG00000183715	724	760
ENSG00000250497	24	58
ENSG00000102003	698	544
ENSG00000085433	707	711
ENSG00000129636	714	669
ENSG00000089818	629	444
ENSG00000065609	645	579
ENSG00000198934	609	490
ENSG00000174469	639	608
ENSG00000153130	210	156
ENSG00000182013	700	657
ENSG00000141030	501	433
ENSG00000170091	698	663
ENSG00000104490	618	514
ENSG00000128245	716	510
ENSG00000177432	678	561
ENSG00000115840	526	329
ENSG00000184613	736	612
ENSG00000213760	674	512
ENSG00000078328	498	371
ENSG00000068615	724	581
ENSG00000157152	549	352
ENSG00000117152	683	450
ENSG00000110427	560	583
ENSG00000127824	612	341
ENSG00000172348	732	629
ENSG00000138430	649	596
ENSG00000108395	744	718
ENSG00000151025	710	667
ENSG00000139182	683	687
ENSG00000129625	734	679
ENSG00000110107	403	428
ENSG00000163032	590	377
ENSG00000196876	481	417
ENSG00000146267	671	671
ENSG00000136854	564	634
ENSG00000144746	465	293
ENSG00000164924	642	534
ENSG00000104388	549	566
ENSG00000047249	627	440
ENSG00000166006	613	540
ENSG00000100554	547	476
ENSG00000177889	592	483
ENSG00000101079	674	617
ENSG00000149313	542	467
ENSG00000171617	693	548
ENSG00000186462	755	561
ENSG00000152932	661	484
ENSG00000087470	598	369
ENSG00000105649	713	680
ENSG00000154917	632	650
ENSG00000115419	543	484
ENSG00000132872	726	590
ENSG00000144290	634	466
ENSG00000167770	541	424
ENSG00000197043	554	532
ENSG00000075945	598	534
ENSG00000156642	639	539
ENSG00000170027	721	700
ENSG00000163875	552	469
ENSG00000170579	500	576
ENSG00000110786	382	334
ENSG00000031698	413	304
ENSG00000081189	665	520
ENSG00000139174	579	591
ENSG00000110955	502	434
ENSG00000120727	188	258
ENSG00000181789	537	522
ENSG00000084444	679	681
ENSG00000145335	468	292
ENSG00000102471	575	493
ENSG00000111726	565	450
ENSG00000078053	502	503
ENSG00000151729	660	734
ENSG00000136099	257	181
ENSG00000134440	448	420
ENSG00000182901	584	383
ENSG00000164951	646	441
ENSG00000280800	6	62
ENSG00000116675	490	537
ENSG00000185518	687	644
ENSG00000162188	391	218
ENSG00000166922	607	372
ENSG00000079785	470	513
ENSG00000120805	339	435
ENSG00000022355	564	349
ENSG00000058091	658	632
ENSG00000221823	536	193
ENSG00000197106	476	432
ENSG00000169116	628	602
ENSG00000144834	541	329
ENSG00000163947	587	457
ENSG00000104381	573	463
ENSG00000101911	705	602
ENSG00000165238	180	314
ENSG00000139973	668	490
ENSG00000109158	455	324
ENSG00000131507	721	641
ENSG00000130540	626	436
ENSG00000013016	603	540
ENSG00000163399	583	521
ENSG00000177614	384	407
ENSG00000165868	590	590
ENSG00000142686	491	551
ENSG00000148798	713	551
ENSG00000109436	554	570
ENSG00000058335	480	445
ENSG00000157680	316	244
ENSG00000114948	588	292
ENSG00000106105	495	263
ENSG00000145087	500	355
ENSG00000103316	682	386
ENSG00000175395	575	508
ENSG00000175426	431	257
ENSG00000168546	504	425
ENSG00000109180	489	269
ENSG00000153814	600	570
ENSG00000147676	680	587
ENSG00000013293	631	449
ENSG00000146701	569	634
ENSG00000164031	262	193
ENSG00000082397	547	574
ENSG00000171224	485	393
ENSG00000134121	608	539
ENSG00000196937	593	504
ENSG00000164830	581	682
ENSG00000132386	535	334
ENSG00000106537	587	386
ENSG00000002746	344	401
ENSG00000172292	598	554
ENSG00000219073	39	52
ENSG00000134108	561	472
ENSG00000154277	644	338
ENSG00000125868	464	533
ENSG00000086300	506	228
ENSG00000112290	573	381
ENSG00000078668	513	195
ENSG00000104093	515	493
ENSG00000112186	669	599
ENSG00000125166	665	597
ENSG00000165678	511	377
ENSG00000085377	609	381
ENSG00000108924	516	533
ENSG00000069345	513	508
ENSG00000159082	708	602
ENSG00000086289	499	221
ENSG00000138018	527	321
ENSG00000160145	236	323
ENSG00000160753	362	414
ENSG00000165637	240	262
ENSG00000074590	562	494
ENSG00000110675	583	658
ENSG00000170500	503	511
ENSG00000101210	540	509
ENSG00000010256	297	204
ENSG00000124140	585	617
ENSG00000112137	182	272
ENSG00000189241	582	526
ENSG00000092096	568	472
ENSG00000041353	552	319
ENSG00000166206	594	527
ENSG00000169744	665	464
ENSG00000198886	6	8
ENSG00000136143	425	481
ENSG00000154027	530	447
ENSG00000113595	437	304
ENSG00000183454	565	521
ENSG00000117600	502	507
ENSG00000198836	343	337
ENSG00000161203	230	202
ENSG00000107404	56	61
ENSG00000196972	11	22
ENSG00000152234	412	366
ENSG00000174684	559	573
ENSG00000182220	556	556
ENSG00000173898	204	340
ENSG00000186106	469	428
ENSG00000166448	569	457
ENSG00000237622	28	94
ENSG00000277531	589	484
ENSG00000173372	8	49
ENSG00000116106	548	566
ENSG00000131370	509	149
ENSG00000196230	169	11
ENSG00000165152	459	433
ENSG00000164061	168	313
ENSG00000040341	546	532
ENSG00000156735	391	75
ENSG00000034053	210	359
ENSG00000085415	576	530
ENSG00000172209	550	283
ENSG00000197959	546	492
ENSG00000164715	253	415
ENSG00000187189	583	496
ENSG00000134265	552	533
ENSG00000151948	656	682
ENSG00000083720	405	512
ENSG00000159720	335	309
ENSG00000139970	509	345
ENSG00000198961	427	424
ENSG00000197872	463	335
ENSG00000168785	393	285
ENSG00000103769	411	332
ENSG00000007168	375	420
ENSG00000175931	341	485
ENSG00000173660	124	93
ENSG00000136531	285	89
ENSG00000165434	244	35
ENSG00000054356	338	400
ENSG00000004059	492	458
ENSG00000144959	478	399
ENSG00000157087	312	267
ENSG00000151320	373	239
ENSG00000099365	546	400
ENSG00000153310	564	496
ENSG00000119801	456	295
ENSG00000124785	518	462
ENSG00000169891	628	666
ENSG00000084070	379	394
ENSG00000277586	375	378
ENSG00000157219	553	550
ENSG00000186212	497	416
ENSG00000162636	495	331
ENSG00000072201	505	494
ENSG00000131779	353	236
ENSG00000168959	428	325
ENSG00000198121	26	18
ENSG00000220323	1	1
ENSG00000171914	346	417
ENSG00000151229	402	249
ENSG00000051382	383	448
ENSG00000132341	359	458
ENSG00000140854	225	347
ENSG00000154518	396	315
ENSG00000156687	433	420
ENSG00000155876	312	402
ENSG00000177875	493	251
ENSG00000110148	182	236
ENSG00000088986	225	43
