gene	AD	CTL
ENSG00000131095	8	7
ENSG00000198804	8	7
ENSG00000198888	8	7
ENSG00000159189	26	68
ENSG00000129625	739	671
ENSG00000173372	13	46
ENSG00000276168	6	6
ENSG00000157064	721	581
ENSG00000136531	771	702
ENSG00000061918	814	699
ENSG00000173726	786	682
ENSG00000198763	7	8
ENSG00000115685	892	839
ENSG00000164116	88	145
ENSG00000198513	709	584
ENSG00000158856	759	581
ENSG00000189241	784	623
ENSG00000019582	5	12
ENSG00000120053	726	509
ENSG00000111674	664	599
ENSG00000145632	681	477
ENSG00000073969	709	611
ENSG00000112290	763	607
ENSG00000173915	481	305
ENSG00000131100	695	632
ENSG00000154174	600	455
ENSG00000139112	859	638
ENSG00000138430	794	666
ENSG00000129636	775	640
ENSG00000075340	641	616
ENSG00000014641	467	344
ENSG00000107758	772	706
ENSG00000138757	756	721
ENSG00000159164	733	686
ENSG00000168824	665	594
ENSG00000138443	703	501
ENSG00000248485	597	374
ENSG00000240694	712	633
ENSG00000158528	744	592
ENSG00000087470	693	599
ENSG00000070087	779	638
ENSG00000131089	806	675
ENSG00000105696	697	582
ENSG00000161203	795	766
ENSG00000133627	629	583
ENSG00000050748	751	665
ENSG00000106367	747	680
ENSG00000164076	633	462
ENSG00000232931	132	218
ENSG00000004059	530	415
ENSG00000164885	759	598
ENSG00000184144	72	96
ENSG00000097021	564	512
ENSG00000170091	667	575
ENSG00000157152	567	346
ENSG00000166913	719	623
ENSG00000085433	709	555
ENSG00000113387	461	564
ENSG00000147416	738	607
ENSG00000130540	544	507
ENSG00000109180	575	541
ENSG00000196262	533	506
ENSG00000166448	630	513
ENSG00000005486	633	454
ENSG00000088538	247	228
ENSG00000136930	677	517
ENSG00000120265	717	613
ENSG00000203930	6	6
ENSG00000144290	576	530
ENSG00000104723	665	611
ENSG00000069345	820	663
ENSG00000198932	352	477
ENSG00000169282	385	298
ENSG00000162188	485	461
ENSG00000213585	683	590
ENSG00000230590	128	324
ENSG00000132872	472	442
ENSG00000146701	677	430
ENSG00000138018	636	531
ENSG00000145912	717	579
ENSG00000115944	728	601
ENSG00000114573	597	591
ENSG00000111667	729	655
ENSG00000167778	774	665
ENSG00000166111	505	513
ENSG00000089737	815	355
ENSG00000104388	690	603
ENSG00000174501	81	287
ENSG00000113575	740	661
ENSG00000128524	727	607
ENSG00000110955	684	634
ENSG00000156642	712	410
ENSG00000151729	783	718
ENSG00000106976	577	514
ENSG00000168439	8	10
ENSG00000244734	1	1
ENSG00000184368	639	646
ENSG00000178662	568	582
ENSG00000221978	151	343
ENSG00000162852	393	520
ENSG00000141030	601	394
ENSG00000102226	717	459
ENSG00000105887	805	552
ENSG00000057757	741	562
ENSG00000116299	481	355
ENSG00000167770	765	609
ENSG00000156411	613	526
ENSG00000158560	478	497
