gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000271569	17	4	13	0.13373710950146098	0.5221448674270478	0.23063249888905346	0.29151236853799434	AD
ENSG00000234956	73	5	68	0.6051190338962056	0.8177307065619908	0.266775292549252	0.5509554140127388	AD
ENSG00000106341	153	160	-7	-0.03767449936935522	0.9217893645385868	0.91127240408828325	0.010516960450303592	Control
ENSG00000178538	147	138	9	0.09945478772729774	0.9171233891275367	0.8908309880017775	0.026292401125759146	AD
ENSG00000248302	16	6	10	0.10802536817083855	0.5095541401273885	0.2975114797807732	0.21204266034661534	AD
ENSG00000157404	93	171	-78	-0.6461857108607527	0.857428529106799	0.9210487335209598	-0.06362020441416083	Control
ENSG00000248485	87	162	-75	-0.6204739695301303	0.8483928306917494	0.9134942971411643	-0.06510146644941484	Control
ENSG00000168439	326	34	292	2.524929053249347	0.9707450748037327	0.6270922826247963	0.3436527921789364	AD
ENSG00000128683	171	243	-72	-0.5947622281995079	0.9314916308695008	0.9601540512516664	-0.0286624203821656	Control
ENSG00000138741	170	148	22	0.21087233349332826	0.9306028736483484	0.9015701377573693	0.0290327358909791	AD
ENSG00000086061	352	31	321	2.7734758861120303	0.9758554288253593	0.6070952451488668	0.36876018367649244	AD
ENSG00000150995	160	170	-10	-0.06338624069997766	0.9263072137461117	0.9200118500962821	0.006295363649829633	Control
ENSG00000204389	45	3	42	0.3822839423641445	0.7281143534291216	0.18582432232261886	0.5422900311065026	AD
ENSG00000233730	14	3	11	0.11659594861437936	0.4802992149311213	0.18582432232261886	0.29447489260850246	AD
ENSG00000127951	149	156	-7	-0.03767449936935522	0.9189009035698416	0.9077173752036736	0.011183528366167983	Control
ENSG00000180573	420	21	399	3.4419811607082136	0.9857798844615613	0.5354762257443342	0.4503036587172271	AD
ENSG00000159189	55	42	13	0.13373710950146098	0.7674418604651163	0.6716042067841801	0.09583765368093622	AD
ENSG00000162494	69	128	-59	-0.48334468243347734	0.806769367501111	0.8755739890386609	-0.06880462153754996	Control
ENSG00000220323	14	58	-44	-0.3547859757803652	0.4802992149311213	0.7323359502295956	-0.2520367352984743	Control
ENSG00000204390	386	9	377	3.2534283909503157	0.9808176566434602	0.369352688490594	0.6114649681528662	AD
ENSG00000224203	16	2	14	0.1423076899450018	0.5095541401273885	0.13175825803584654	0.377795882091542	AD
ENSG00000116161	116	25	91	0.8022423840976441	0.8891275366612353	0.5687305584357872	0.3203969782254481	AD
ENSG00000104327	155	168	-13	-0.08909798203060008	0.9231965634720782	0.9189009035698416	0.0042956599022366815	Control
ENSG00000169435	13	3	10	0.10802536817083855	0.46482002666271666	0.18582432232261886	0.2789957043400978	AD
ENSG00000246541	15	6	9	0.09945478772729774	0.49481558287661087	0.2975114797807732	0.19730410309583768	AD
ENSG00000164362	15	4	11	0.11659594861437936	0.49481558287661087	0.23063249888905346	0.2641830839875574	AD
ENSG00000150361	167	160	7	0.08231362684021612	0.9287512961042809	0.91127240408828325	0.017478892015997616	AD
ENSG00000156113	167	185	-18	-0.13195088424830412	0.9287512961042809	0.9315656939712635	-0.0028143978669826764	Control
ENSG00000224521	12	2	10	0.10802536817083855	0.4472670715449563	0.13175825803584654	0.31550881350910975	AD
ENSG00000169213	81	165	-84	-0.6976091935219976	0.836320545104429	0.9163827581099097	-0.08006221300548066	Control
ENSG00000163932	144	211	-67	-0.5519093259818039	0.9146793067693675	0.9454895571026515	-0.030810250333283995	Control
ENSG00000224387	1	1	0	0.022319563735430453	0.05154791882684047	0.05058509850392535	9.628203229151214e-4	Control
ENSG00000179626	16	4	12	0.12516652905792017	0.5095541401273885	0.23063249888905346	0.27892164123833507	AD
ENSG00000107518	157	154	3	0.04803130506605288	0.9245296993038068	0.9061620500666568	0.018367649237149952	AD
ENSG00000196277	153	156	-3	-0.0033921775951919757	0.9217893645385868	0.9077173752036736	0.01407198933491327	Control
ENSG00000126583	172	186	-14	-0.0976685624741409	0.9323063249888905	0.932454451192416	-1.4812620352544492e-4	Control
ENSG00000119227	647	2	645	5.550343949819253	0.9989631165753222	0.13175825803584654	0.8672048585394757	AD
ENSG00000244734	2	3	-1	0.013748983291889644	0.13746111687157458	0.18582432232261886	-0.04836320545104428	Control
