gene	AD	CTL
ENSG00000271569	17	4
ENSG00000234956	73	5
ENSG00000106341	153	160
ENSG00000178538	147	138
ENSG00000248302	16	6
ENSG00000157404	93	171
ENSG00000248485	87	162
ENSG00000168439	326	34
ENSG00000128683	171	243
ENSG00000138741	170	148
ENSG00000086061	352	31
ENSG00000150995	160	170
ENSG00000204389	45	3
ENSG00000233730	14	3
ENSG00000127951	149	156
ENSG00000180573	420	21
ENSG00000159189	55	42
ENSG00000162494	69	128
ENSG00000220323	14	58
ENSG00000204390	386	9
ENSG00000224203	16	2
ENSG00000116161	116	25
ENSG00000104327	155	168
ENSG00000169435	13	3
ENSG00000246541	15	6
ENSG00000164362	15	4
ENSG00000150361	167	160
ENSG00000156113	167	185
ENSG00000224521	12	2
ENSG00000169213	81	165
ENSG00000163932	144	211
ENSG00000224387	1	1
ENSG00000179626	16	4
ENSG00000107518	157	154
ENSG00000196277	153	156
ENSG00000126583	172	186
ENSG00000119227	647	2
ENSG00000244734	2	3
ENSG00000053108	118	198
ENSG00000163220	6	NA
ENSG00000148341	511	8
ENSG00000180828	78	145
ENSG00000143157	87	16
ENSG00000074370	143	135
ENSG00000136750	149	241
ENSG00000172731	571	48
ENSG00000122012	120	143
ENSG00000136942	91	78
ENSG00000110172	224	4
ENSG00000110675	158	137
ENSG00000145882	814	41
ENSG00000158373	212	15
ENSG00000004478	232	36
ENSG00000109452	77	160
ENSG00000132677	309	9
ENSG00000080644	158	229
ENSG00000269113	134	112
ENSG00000173372	42	32
ENSG00000144199	634	5
ENSG00000182899	79	75
ENSG00000198300	112	562
ENSG00000075891	27	121
ENSG00000113805	132	84
ENSG00000136153	126	74
ENSG00000284640	364	237
ENSG00000156395	75	119
ENSG00000151136	84	162
ENSG00000136367	63	153
ENSG00000105993	164	57
ENSG00000142149	162	185
ENSG00000162244	95	16
ENSG00000109107	127	113
ENSG00000270441	499	6
ENSG00000204388	32	7
ENSG00000112218	135	142
ENSG00000251148	200	168
