gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000131095	11	14	-3	-0.0948189653722119	0.4213370696557246	0.27241793434747796	0.14891913530824663	Control
ENSG00000210082	11	19	-8	-0.13089014219661876	0.4213370696557246	0.3074459567654123	0.11389111289031228	Control
ENSG00000198804	11	20	-9	-0.13810437756150015	0.4213370696557246	0.3146517213771017	0.10668534827862292	Control
ENSG00000136854	852	739	113	0.7420323369540277	0.9971977582065652	0.9919935948759008	0.005204163330664424	AD
ENSG00000136531	901	701	200	1.3696708136987075	1	0.9879903923138511	0.012009607686148893	AD
ENSG00000019505	887	779	108	0.7059611601296208	0.9991993594875901	0.9963971176941553	0.002802241793434801	AD
ENSG00000157064	853	819	34	0.17210774312839902	0.9975980784627703	0.9987990392313851	-0.0012009607686148671	AD
ENSG00000073969	871	843	28	0.12882233093911077	0.9987990392313851	0.999599679743795	-8.006405124099114e-4	AD
ENSG00000133019	800	600	200	1.3696708136987075	0.9869895916733387	0.9625700560448359	0.024419535628502742	AD
ENSG00000155097	844	886	-42	-0.3761741446025856	0.9957966373098479	1	-0.00420336269015209	Control
ENSG00000146267	843	791	52	0.3019639796962638	0.9951961569255404	0.9979983987189752	-0.002802241793434801	AD
ENSG00000182901	754	596	158	1.0666729283736898	0.9747798238590872	0.9611689351481185	0.013610888710968716	AD
ENSG00000109738	799	596	203	1.3913135197933517	0.9863891112890312	0.9611689351481185	0.025220176140912653	AD
ENSG00000068615	826	745	81	0.5111768052778236	0.9919935948759008	0.9931945556445156	-0.0012009607686148671	AD
ENSG00000183715	835	822	13	0.020608800465890108	0.9935948759007206	0.9991993594875901	-0.005604483586869491	AD
ENSG00000165943	618	650	-32	-0.3040317909537718	0.9315452361889511	0.9773819055244195	-0.04583666933546837	Control
ENSG00000125851	804	757	47	0.2658928028718569	0.9879903923138511	0.9943955164131305	-0.006405124099279402	AD
ENSG00000159189	10	20	-10	-0.14531861292638154	0.40912730184147317	0.3146517213771017	0.09447558046437149	Control
ENSG00000078328	867	741	126	0.8358173966974856	0.9981985588470776	0.9923939151321057	0.005804643714971913	AD
ENSG00000130540	846	768	78	0.4895340991831795	0.9965972778222578	0.9959967974379503	6.004803843074891e-4	AD
ENSG00000131089	846	811	35	0.1793219784932804	0.9965972778222578	0.9983987189751802	-0.0018014411529223562	AD
ENSG00000125814	768	638	130	0.8646743381570111	0.9791833466773419	0.9741793434747799	0.005004003202562002	AD
ENSG00000128245	833	556	277	1.9251669367945734	0.9931945556445156	0.944755804643715	0.04843875100080064	AD
ENSG00000184613	791	707	84	0.5328195113724677	0.9843875100080064	0.9889911929543634	-0.004603682946357046	AD
ENSG00000110427	672	436	236	1.6293832868344371	0.9531625300240192	0.8965172137710168	0.0566453162530024	AD
ENSG00000158560	696	541	155	1.0450302222790455	0.9593674939951962	0.9399519615692554	0.01941553242594074	AD
ENSG00000198934	671	582	89	0.5688906881968746	0.9521617293835068	0.9549639711769415	-0.00280224179343469	AD
ENSG00000107295	760	638	122	0.8069604552379601	0.9759807846277022	0.9741793434747799	0.0018014411529223562	AD
ENSG00000152932	793	551	242	1.6726686990237254	0.9855884707766213	0.9427542033626901	0.04283426741393115	AD
ENSG00000132932	784	636	148	0.9945305747248759	0.9827862289831866	0.9725780624499599	0.010208166533226648	AD
ENSG00000213190	807	671	136	0.9079597503462994	0.989191353082466	0.9817854283426741	0.007405924739791847	AD
ENSG00000089818	836	649	187	1.2758857539552497	0.9939951961569256	0.9767814251401121	0.01721377101681343	AD
ENSG00000022355	766	552	214	1.4706701088070468	0.978382706164932	0.9431545236188951	0.03522818254603688	AD
ENSG00000119125	686	411	275	1.9107384660648108	0.955964771817454	0.8831064851881505	0.07285828662930349	AD
ENSG00000175874	697	717	-20	-0.21746096657519529	0.9599679743795037	0.9899919935948759	-0.030024019215372233	Control
ENSG00000166206	807	619	188	1.283099989320131	0.989191353082466	0.967173738991193	0.022017614091273008	AD
ENSG00000154917	733	707	26	0.114393860209348	0.9699759807846277	0.9889911929543634	-0.019015212169735785	AD
ENSG00000144959	754	645	109	0.7131753954945022	0.9747798238590872	0.9759807846277022	-0.0012009607686149781	AD
ENSG00000113327	814	706	108	0.7059611601296208	0.9907926341072858	0.9883907125700561	0.0024019215372297342	AD
ENSG00000075340	785	618	167	1.131601046657622	0.9831865492393915	0.966773418734988	0.016413130504403517	AD
ENSG00000151229	746	635	111	0.727603866224265	0.9725780624499599	0.9719775820656525	6.00480384307378e-4	AD
ENSG00000162636	691	356	335	2.3435925879576933	0.9583666933546837	0.8490792634107286	0.10928742994395513	AD
ENSG00000185518	837	455	382	2.682661650107118	0.9943955164131305	0.9071257005604484	0.08726981585268212	AD
ENSG00000277586	709	633	76	0.47510562845341675	0.9639711769415532	0.9707766212970377	-0.006805444355484469	AD
ENSG00000166501	827	734	93	0.5977476296564002	0.9923939151321057	0.9907926341072858	0.0016012810248199338	AD
ENSG00000159164	807	639	168	1.1388152820225035	0.989191353082466	0.9749799839871898	0.014211369095276205	AD
ENSG00000144290	764	650	114	0.749246572318909	0.9767814251401121	0.9773819055244195	-6.00480384307378e-4	AD
ENSG00000165973	716	574	142	0.9512451625355877	0.9645716573258607	0.9515612489991994	0.013010408326661338	AD
ENSG00000184368	888	668	220	1.5139555209963351	0.999599679743795	0.9807846277021617	0.018815052041633362	AD
ENSG00000154277	653	452	201	1.3768850490635889	0.94435548438751	0.9043234587670136	0.04003202562049646	AD
ENSG00000114573	689	680	9	-0.008248140993635395	0.9571657325860689	0.9837870296236989	-0.026621297037630054	AD
ENSG00000105649	813	789	24	0.09996538947958525	0.9903923138510808	0.9975980784627703	-0.007205764611689425	AD
ENSG00000065609	832	362	470	3.317514362216679	0.9927942353883107	0.8530824659727783	0.13971176941553243	AD
ENSG00000089199	717	690	27	0.12160809557422939	0.9651721377101682	0.9863891112890312	-0.021216973578862985	AD
ENSG00000097021	777	683	94	0.6049618650212816	0.9815852682145717	0.9851881505204163	-0.0036028823058446013	AD
ENSG00000114279	792	587	205	1.4057419905231143	0.9849879903923139	0.9575660528422738	0.027421937550040076	AD
ENSG00000050748	706	646	60	0.3596778626153148	0.9625700560448359	0.9763811048839072	-0.01381104883907125	AD
ENSG00000151025	753	517	236	1.6293832868344371	0.9739791833466773	0.9287429943955164	0.04523618895116088	AD
ENSG00000066248	731	686	45	0.2514643321420942	0.9695756605284227	0.9855884707766213	-0.01601281024819856	AD
ENSG00000148798	748	672	76	0.47510562845341675	0.9731785428342674	0.9827862289831866	-0.009607686148919159	AD
ENSG00000040933	665	592	73	0.45346292235877267	0.9507606084867894	0.9585668534827863	-0.007806244995996803	AD
ENSG00000047597	819	737	82	0.518391040642705	0.9911929543634908	0.9915932746196957	-4.003202562049557e-4	AD
ENSG00000164588	725	582	143	0.9584593979004691	0.9675740592473979	0.9549639711769415	0.012610088070456382	AD
ENSG00000157680	754	595	159	1.0738871637385712	0.9747798238590872	0.9603682946357086	0.014411529223378627	AD
ENSG00000128683	36	146	-110	-0.8667421494145192	0.5430344275420337	0.6671337069655725	-0.12409927942353882	Control
ENSG00000196368	692	317	375	2.632162002552948	0.9587670136108887	0.8232586068855084	0.13550840672538023	AD
ENSG00000120053	716	564	152	1.0233875161844015	0.9645716573258607	0.9491593274619696	0.015412329863891072	AD
ENSG00000122733	806	536	270	1.874667289240404	0.9883907125700561	0.9383506805444356	0.05004003202562046	AD
ENSG00000166448	746	743	3	-0.05153355318292365	0.9725780624499599	0.9927942353883107	-0.020216172938350763	AD
ENSG00000067842	608	482	126	0.8358173966974856	0.9267413931144916	0.9163330664531625	0.01040832666132907	AD
ENSG00000156642	842	543	299	2.0838801148219637	0.9947958366693355	0.9403522818254604	0.054443554843875086	AD
ENSG00000162374	606	431	175	1.1893149295766732	0.9259407526020816	0.894515612489992	0.03142514011208963	AD
ENSG00000175582	639	538	101	0.6554615125754512	0.9373498799039232	0.938951160928743	-0.0016012810248198228	AD
ENSG00000225465	739	549	190	1.2975284600498938	0.9719775820656525	0.9417534027221778	0.030224179343474766	AD
ENSG00000178965	707	439	268	1.860238818510641	0.9631705364291433	0.8979183346677342	0.06525220176140911	AD
ENSG00000117152	736	604	132	0.8791028088867738	0.9707766212970377	0.9635708566853483	0.007205764611689425	AD
ENSG00000131437	706	633	73	0.45346292235877267	0.9625700560448359	0.9707766212970377	-0.008206565252201758	AD
ENSG00000139973	787	696	91	0.5833191589266374	0.9835868694955965	0.9867894315452362	-0.0032025620496397567	AD
ENSG00000107758	775	697	78	0.4895340991831795	0.9811849479583667	0.9871897518014412	-0.006004803843074447	AD
