gene	AD	CTL
ENSG00000131095	11	14
ENSG00000210082	11	19
ENSG00000198804	11	20
ENSG00000136854	852	739
ENSG00000136531	901	701
ENSG00000019505	887	779
ENSG00000157064	853	819
ENSG00000073969	871	843
ENSG00000133019	800	600
ENSG00000155097	844	886
ENSG00000146267	843	791
ENSG00000182901	754	596
ENSG00000109738	799	596
ENSG00000068615	826	745
ENSG00000183715	835	822
ENSG00000165943	618	650
ENSG00000125851	804	757
ENSG00000159189	10	20
ENSG00000078328	867	741
ENSG00000130540	846	768
ENSG00000131089	846	811
ENSG00000125814	768	638
ENSG00000128245	833	556
ENSG00000184613	791	707
ENSG00000110427	672	436
ENSG00000158560	696	541
ENSG00000198934	671	582
ENSG00000107295	760	638
ENSG00000152932	793	551
ENSG00000132932	784	636
ENSG00000213190	807	671
ENSG00000089818	836	649
ENSG00000022355	766	552
ENSG00000119125	686	411
ENSG00000175874	697	717
ENSG00000166206	807	619
ENSG00000154917	733	707
ENSG00000144959	754	645
ENSG00000113327	814	706
ENSG00000075340	785	618
ENSG00000151229	746	635
ENSG00000162636	691	356
ENSG00000185518	837	455
ENSG00000277586	709	633
ENSG00000166501	827	734
ENSG00000159164	807	639
ENSG00000144290	764	650
ENSG00000165973	716	574
ENSG00000184368	888	668
ENSG00000154277	653	452
ENSG00000114573	689	680
ENSG00000105649	813	789
ENSG00000065609	832	362
ENSG00000089199	717	690
ENSG00000097021	777	683
ENSG00000114279	792	587
ENSG00000050748	706	646
ENSG00000151025	753	517
ENSG00000066248	731	686
ENSG00000148798	748	672
ENSG00000040933	665	592
ENSG00000047597	819	737
ENSG00000164588	725	582
ENSG00000157680	754	595
ENSG00000128683	36	146
ENSG00000196368	692	317
ENSG00000120053	716	564
ENSG00000122733	806	536
ENSG00000166448	746	743
ENSG00000067842	608	482
ENSG00000156642	842	543
ENSG00000162374	606	431
ENSG00000175582	639	538
ENSG00000225465	739	549
ENSG00000178965	707	439
ENSG00000117152	736	604
ENSG00000131437	706	633
ENSG00000139973	787	696
ENSG00000107758	775	697
ENSG00000136928	800	608
ENSG00000178662	792	436
ENSG00000186462	778	660
ENSG00000078053	575	581
ENSG00000151090	513	166
ENSG00000240694	572	756
ENSG00000171617	758	698
ENSG00000163032	664	397
ENSG00000139200	657	310
ENSG00000176788	779	454
ENSG00000132872	720	607
ENSG00000172915	492	233
ENSG00000164951	729	504
ENSG00000159082	766	594
ENSG00000149269	789	682
ENSG00000170027	770	665
ENSG00000172260	751	265
ENSG00000138078	766	359
ENSG00000170500	658	348
ENSG00000075945	647	349
ENSG00000106537	579	200
ENSG00000104435	762	396
ENSG00000171132	672	549
ENSG00000170579	823	781
ENSG00000014641	704	493
ENSG00000213760	546	622
ENSG00000144834	541	345
ENSG00000147416	658	337
ENSG00000204071	685	444
ENSG00000139182	801	766
ENSG00000183023	515	220
ENSG00000166111	737	562
ENSG00000058091	844	584
ENSG00000109158	737	562
ENSG00000129625	688	580
ENSG00000114948	661	318
ENSG00000111490	629	355
ENSG00000198689	867	290
ENSG00000123360	603	330
ENSG00000145526	774	545
ENSG00000151948	674	711
ENSG00000118276	708	426
ENSG00000155970	639	241
ENSG00000110675	772	753
ENSG00000099365	735	524
ENSG00000136750	65	155
ENSG00000185924	651	273
ENSG00000145087	718	559
ENSG00000118402	648	561
ENSG00000165985	527	213
ENSG00000164076	596	560
ENSG00000070159	687	555
ENSG00000085365	662	689
ENSG00000176749	702	671
ENSG00000002746	729	584
ENSG00000177432	603	484
ENSG00000184515	475	532
ENSG00000091972	610	402
ENSG00000233705	644	388
ENSG00000137726	566	202
ENSG00000169116	575	671
ENSG00000110786	584	483
ENSG00000177511	811	341
ENSG00000166257	465	203
ENSG00000106976	765	531
ENSG00000107518	577	613
ENSG00000167770	388	413
ENSG00000166922	661	340
ENSG00000077264	719	372
ENSG00000260230	552	458
ENSG00000282164	514	391
ENSG00000197535	587	397
ENSG00000177181	481	392
ENSG00000186487	647	576
ENSG00000165434	660	360
ENSG00000072201	657	512
ENSG00000145864	664	605
ENSG00000151952	655	533
ENSG00000157693	700	423
ENSG00000164794	536	736
ENSG00000118733	700	767
ENSG00000163995	545	399
ENSG00000197860	526	430
ENSG00000169851	640	487
ENSG00000149313	594	228
ENSG00000196872	725	193
ENSG00000156687	529	597
ENSG00000103316	555	372
ENSG00000166913	650	374
ENSG00000197872	631	351
ENSG00000157219	690	554
ENSG00000172348	481	297
ENSG00000166342	469	328
ENSG00000145335	531	252
ENSG00000185760	566	578
ENSG00000127561	696	582
ENSG00000115419	558	387
ENSG00000124507	640	407
ENSG00000146352	480	455
ENSG00000163875	431	163
ENSG00000149575	656	596
ENSG00000082458	798	783
ENSG00000070961	765	550
ENSG00000198825	671	567
ENSG00000078668	531	197
ENSG00000115977	415	284
ENSG00000160753	494	426
ENSG00000197106	641	530
ENSG00000133169	485	378
ENSG00000104490	618	606
ENSG00000140323	607	236
ENSG00000184672	645	170
ENSG00000163618	627	621
ENSG00000185274	582	292
ENSG00000069424	631	252
ENSG00000153814	684	494
ENSG00000169933	769	680
ENSG00000215218	610	411
ENSG00000163536	570	475
ENSG00000213023	511	359
ENSG00000185742	681	671
ENSG00000129636	534	636
ENSG00000179915	506	64
ENSG00000127824	552	603
ENSG00000152503	656	129
ENSG00000086289	548	350
ENSG00000172020	612	307
ENSG00000156735	633	451
ENSG00000164885	633	682
ENSG00000176204	690	514
ENSG00000178171	567	443
ENSG00000061918	634	583
ENSG00000123178	262	155
ENSG00000198673	451	427
ENSG00000101210	679	580
ENSG00000171450	383	326
ENSG00000107105	726	468
ENSG00000173726	428	255
ENSG00000117016	502	238
ENSG00000074706	616	246
ENSG00000041353	537	286
ENSG00000169744	639	386
ENSG00000174514	471	559
ENSG00000157152	544	160
ENSG00000077080	581	637
ENSG00000136267	637	440
ENSG00000150995	561	315
ENSG00000177542	470	64
ENSG00000114541	38	224
ENSG00000172031	480	150
ENSG00000006432	433	269
ENSG00000104722	299	364
ENSG00000119042	422	87
ENSG00000008086	568	428
ENSG00000144331	455	91
ENSG00000120251	591	159
ENSG00000070087	474	422
ENSG00000112290	475	223
ENSG00000133627	609	520
ENSG00000162188	501	592
ENSG00000164715	341	408
ENSG00000196972	251	476
ENSG00000149927	556	423
ENSG00000156486	495	507
ENSG00000156959	445	238
ENSG00000116106	499	535
ENSG00000081189	559	612
ENSG00000108947	396	355
ENSG00000175175	575	528
ENSG00000149970	723	535
ENSG00000164830	282	259
ENSG00000173611	616	634
ENSG00000144406	441	226
ENSG00000047249	615	404
ENSG00000067606	442	94
ENSG00000109180	172	51
ENSG00000113763	398	177
ENSG00000102466	626	176
ENSG00000153558	634	294
ENSG00000086300	525	254
ENSG00000112137	556	276
ENSG00000272163	283	392
ENSG00000100321	666	507
ENSG00000102409	84	59
ENSG00000162817	583	506
ENSG00000167371	657	402
ENSG00000182389	543	163
ENSG00000100554	440	266
ENSG00000151490	588	125
ENSG00000055163	612	467
ENSG00000240764	414	208
ENSG00000196090	571	408
ENSG00000165023	519	203
ENSG00000102468	612	526
ENSG00000189223	1	1
ENSG00000106089	334	206
ENSG00000164506	483	338
ENSG00000005249	507	101
ENSG00000165379	540	406
ENSG00000136535	541	65
ENSG00000158445	640	328
ENSG00000126733	554	437
ENSG00000164112	600	189
ENSG00000131507	352	524
ENSG00000180044	347	674
ENSG00000185352	543	383
ENSG00000108395	574	475
ENSG00000196990	548	214
ENSG00000123091	472	23
ENSG00000132359	405	61
ENSG00000187672	484	70
ENSG00000138028	340	294
ENSG00000138814	500	72
ENSG00000013016	508	512
ENSG00000157470	540	212
ENSG00000124194	435	258
ENSG00000069966	725	304
ENSG00000085433	501	652
ENSG00000095203	485	117
ENSG00000160716	505	369
ENSG00000277531	598	637
ENSG00000153233	384	142
ENSG00000119866	409	23
ENSG00000168539	440	259
ENSG00000177570	570	44
ENSG00000138378	496	84
ENSG00000124140	661	589
ENSG00000172209	590	424
ENSG00000153130	57	3
ENSG00000109436	587	447
ENSG00000162105	357	67
ENSG00000006116	565	247
ENSG00000186212	359	532
ENSG00000112186	488	503
ENSG00000198961	397	355
ENSG00000158258	361	44
ENSG00000157087	456	278
ENSG00000073670	610	423
ENSG00000168546	530	266
ENSG00000114923	466	108
ENSG00000177889	331	397
ENSG00000135638	347	145
ENSG00000104723	467	395
ENSG00000187730	332	146
ENSG00000189241	511	140
ENSG00000240891	405	28
ENSG00000135709	532	266
ENSG00000131100	255	210
ENSG00000189410	490	611
ENSG00000165868	328	392
ENSG00000139112	499	761
ENSG00000213585	258	468
ENSG00000140992	292	180
ENSG00000165704	648	461
ENSG00000259153	550	630
ENSG00000136950	269	406
ENSG00000163412	472	3
ENSG00000134516	11	19
ENSG00000186472	434	209
ENSG00000182013	393	661
ENSG00000165983	395	99
ENSG00000102003	700	482
ENSG00000067191	445	77
ENSG00000163798	155	275
ENSG00000135002	440	531
ENSG00000133424	498	284
ENSG00000164061	168	66
ENSG00000134287	509	325
ENSG00000165495	346	161
ENSG00000040341	519	443
ENSG00000186310	643	515
ENSG00000155858	466	642
ENSG00000130226	521	83
ENSG00000253368	505	402
ENSG00000183049	537	418
ENSG00000173372	4	11
ENSG00000167654	666	594
ENSG00000154096	419	205
ENSG00000104888	480	149
ENSG00000152061	474	62
ENSG00000130368	504	380
ENSG00000158008	220	37
ENSG00000084764	177	23
ENSG00000117598	476	43
ENSG00000122873	420	280
ENSG00000147465	455	504
ENSG00000160145	562	464
ENSG00000107864	458	297
ENSG00000155744	400	289
