gene	AD	CTL
ENSG00000159189	17	46
ENSG00000276168	8	6
ENSG00000138757	811	664
ENSG00000131095	7	3
ENSG00000110955	636	495
ENSG00000131100	708	660
ENSG00000085433	663	677
ENSG00000152556	555	513
ENSG00000155097	791	689
ENSG00000114573	554	438
ENSG00000173726	663	659
ENSG00000139112	813	661
ENSG00000213190	438	316
ENSG00000147416	498	431
ENSG00000166913	588	406
ENSG00000161203	765	768
ENSG00000050748	712	550
ENSG00000120265	752	615
ENSG00000198888	7	7
ENSG00000169139	749	629
ENSG00000031698	770	665
ENSG00000154917	602	638
ENSG00000159377	517	348
ENSG00000213585	736	807
ENSG00000119125	92	109
ENSG00000159720	732	718
ENSG00000213760	581	563
ENSG00000151729	616	639
ENSG00000089818	627	531
ENSG00000131437	709	574
ENSG00000198513	444	428
ENSG00000240694	564	563
ENSG00000010256	557	544
ENSG00000102003	351	348
ENSG00000138430	771	755
ENSG00000144834	366	471
ENSG00000111674	433	335
ENSG00000133318	493	348
ENSG00000104388	752	785
ENSG00000136143	647	570
ENSG00000165943	706	611
ENSG00000146701	839	765
ENSG00000159164	451	460
ENSG00000057757	691	582
ENSG00000061918	673	601
ENSG00000198932	415	552
ENSG00000154277	372	284
ENSG00000181789	755	696
ENSG00000013275	577	538
ENSG00000065154	568	449
ENSG00000167770	780	764
ENSG00000163536	212	232
ENSG00000163875	793	786
ENSG00000162378	600	363
ENSG00000162188	339	362
ENSG00000113575	755	790
ENSG00000100554	695	464
ENSG00000142686	596	625
ENSG00000167863	508	476
ENSG00000177889	828	800
ENSG00000167778	682	774
ENSG00000107758	663	593
ENSG00000108395	579	485
ENSG00000134287	383	299
ENSG00000158560	336	227
ENSG00000165678	654	559
ENSG00000116750	494	397
ENSG00000143106	481	554
ENSG00000197872	667	500
ENSG00000134108	725	639
ENSG00000086300	285	239
ENSG00000182013	427	368
ENSG00000149313	690	729
ENSG00000198804	11	7
ENSG00000004059	644	531
ENSG00000125814	381	340
ENSG00000129625	690	661
ENSG00000156515	789	789
ENSG00000128683	3	4
ENSG00000157064	363	431
ENSG00000129636	593	610
ENSG00000103769	646	688
ENSG00000196262	555	473
ENSG00000178662	418	325
ENSG00000175203	692	657
ENSG00000167005	759	684
ENSG00000173372	11	29
ENSG00000149269	447	372
ENSG00000198934	148	279
ENSG00000068912	699	683
ENSG00000105649	435	465
ENSG00000022355	172	186
ENSG00000069329	755	758
ENSG00000165637	593	540
ENSG00000165434	115	89
ENSG00000134717	659	530
ENSG00000120805	689	607
ENSG00000165280	605	178
ENSG00000132341	667	767
ENSG00000164031	314	181
ENSG00000198961	570	459
ENSG00000197885	572	644
ENSG00000196937	493	304
ENSG00000100764	598	554
ENSG00000087470	630	571
ENSG00000139182	387	385
ENSG00000078668	595	444
ENSG00000089737	770	738
ENSG00000122873	730	783
ENSG00000171617	178	157
ENSG00000019582	3	10
ENSG00000111669	554	684
ENSG00000120053	352	292
ENSG00000186462	401	336
ENSG00000177432	280	201
ENSG00000109180	698	629
ENSG00000176788	259	216
ENSG00000101654	623	680
ENSG00000128245	446	451
ENSG00000070718	725	799
ENSG00000115685	498	776
ENSG00000073969	419	452
ENSG00000170027	381	281
ENSG00000152234	617	570
ENSG00000184613	238	186
ENSG00000174607	32	25
ENSG00000131507	615	704
ENSG00000128609	576	587
ENSG00000164924	591	638
ENSG00000111667	656	839
ENSG00000158301	569	529
ENSG00000074590	486	347
ENSG00000175582	725	699
ENSG00000111726	598	610
ENSG00000092096	664	682
ENSG00000142875	552	617
ENSG00000116675	439	332
ENSG00000075945	537	425
ENSG00000139637	460	339
ENSG00000083720	526	575
ENSG00000102226	632	521
ENSG00000079785	672	628
ENSG00000104435	232	290
ENSG00000164209	513	549
ENSG00000166681	612	553
ENSG00000131263	722	566
ENSG00000133169	206	318
ENSG00000114279	233	186
ENSG00000070087	509	571
ENSG00000175874	320	235
ENSG00000113595	523	520
ENSG00000074317	276	338
ENSG00000102409	408	379
ENSG00000185787	741	767
ENSG00000173660	526	510
ENSG00000150768	625	580
ENSG00000104643	537	416
ENSG00000112186	275	227
ENSG00000102471	459	440
ENSG00000131089	511	527
ENSG00000128524	671	731
ENSG00000162817	398	396
ENSG00000155876	481	498
ENSG00000214517	471	418
ENSG00000079246	539	361
ENSG00000065609	234	240
ENSG00000171314	538	638
ENSG00000164091	729	698
ENSG00000084444	562	465
ENSG00000058091	422	302
ENSG00000161057	457	377
ENSG00000099246	222	28
ENSG00000105223	380	419
ENSG00000104381	406	506
ENSG00000136930	549	497
ENSG00000153130	416	344
ENSG00000159082	470	336
ENSG00000266472	575	546
ENSG00000042753	577	583
ENSG00000124702	673	648
ENSG00000165832	682	519
ENSG00000069345	754	889
ENSG00000138138	446	412
ENSG00000154174	694	845
ENSG00000082213	591	597
ENSG00000145864	96	110
ENSG00000013016	477	313
ENSG00000138069	614	680
ENSG00000134001	583	356
ENSG00000162989	246	203
ENSG00000152061	404	297
ENSG00000078140	361	245
ENSG00000173692	533	414
ENSG00000164830	595	439
ENSG00000196419	708	712
ENSG00000158856	249	251
ENSG00000198612	584	685
ENSG00000084764	424	697
ENSG00000132932	123	159
ENSG00000108528	553	387
ENSG00000163399	580	256
ENSG00000166197	614	589
ENSG00000220205	447	503
ENSG00000139505	609	377
ENSG00000135002	297	253
ENSG00000086061	13	10
ENSG00000134440	665	557
ENSG00000126247	481	464
ENSG00000136003	682	519
ENSG00000186106	726	725
ENSG00000172336	436	407
ENSG00000198954	576	503
ENSG00000182220	691	722
ENSG00000096092	471	339
ENSG00000136960	35	25
ENSG00000132305	457	354
ENSG00000167815	484	468
ENSG00000165704	608	578
ENSG00000099341	568	558
ENSG00000125166	595	494
ENSG00000119801	500	205
ENSG00000047249	519	383
ENSG00000139970	336	92
ENSG00000156976	528	556
ENSG00000171132	301	354
ENSG00000106537	251	234
ENSG00000106723	782	752
ENSG00000100138	694	771
ENSG00000138663	564	619
ENSG00000072201	277	206
ENSG00000131966	541	353
ENSG00000105270	400	333
ENSG00000168439	11	7
ENSG00000176903	494	479
ENSG00000131779	572	728
ENSG00000115839	584	576
ENSG00000054793	461	708
ENSG00000167986	445	212
ENSG00000154518	240	215
ENSG00000071553	664	658
ENSG00000062485	513	311
ENSG00000014641	196	189
ENSG00000114784	572	409
ENSG00000089220	590	464
ENSG00000140740	418	254
ENSG00000087191	512	458
ENSG00000168090	582	551
ENSG00000197217	88	91
ENSG00000117152	202	111
ENSG00000095139	439	296
ENSG00000163468	26	15
ENSG00000158864	536	533
ENSG00000132424	83	187
ENSG00000115762	461	443
