gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000178567	273	1	272	3.650864988842547	0.8658083684080218	0.03986135181975736	0.8259470165882644	AD	ENSG00000178567	1	-0.15145150656246997	FALSE	0	EPM2AIP1	EPM2AIP1
ENSG00000180957	2	347	-345	-4.699848227823592	0.18209952958653133	0.9133448873483536	-0.7312453577618222	Control	ENSG00000180957	0.9997524139638524	-0.11131436187554478	FALSE	0	PITPNB	PITPNB
ENSG00000049130	1	167	-166	-2.2771939883045658	0.07279029462738301	0.8009408269373607	-0.7281505323099777	Control	ENSG00000049130	0.9995048279277049	-0.12493911398170532	FALSE	0	KITLG	KITLG
ENSG00000109339	1	166	-165	-2.2636596070782025	0.07279029462738301	0.8001980688289181	-0.727407774201535	Control	ENSG00000109339	0.9992572418915573	-0.09431877756964724	FALSE	0	MAPK10	MAPK10
ENSG00000074317	92	1	91	1.201141986870795	0.7339688041594454	0.03986135181975736	0.6941074523396881	AD	ENSG00000074317	0.9990096558554098	-0.3059933718677339	FALSE	0	SNCB	SNCB
ENSG00000196428	1	111	-110	-1.519268639628223	0.07279029462738301	0.748328794256004	-0.6755384996286209	Control	ENSG00000196428	0.9987620698192622	-0.07466020590574907	FALSE	0	TSC22D2	TSC22D2
ENSG00000054277	198	3	195	2.6087176344125753	0.8219856400099035	0.15139886110423373	0.6705867789056698	AD	ENSG00000054277	0.9983906907650408	-0.17997138129639012	FALSE	0	OPN3	OPN3
ENSG00000166224	198	3	195	2.6087176344125753	0.8219856400099035	0.15139886110423373	0.6705867789056698	AD	ENSG00000166224	0.9983906907650408	0.1673926266642649	FALSE	0	SGPL1	SGPL1
ENSG00000143420	1	108	-107	-1.4786654959491328	0.07279029462738301	0.74263431542461	-0.6698440207972269	Control	ENSG00000143420	0.9978955186927457	-0.0879119263521364	FALSE	0	ENSA	ENSA
ENSG00000157450	1	108	-107	-1.4786654959491328	0.07279029462738301	0.74263431542461	-0.6698440207972269	Control	ENSG00000157450	0.9978955186927457	-0.08397213599398334	FALSE	0	RNF111	RNF111
ENSG00000023734	1	106	-105	-1.4515967334964062	0.07279029462738301	0.7395394899727655	-0.6667491953453826	Control	ENSG00000023734	0.9975241396385244	-0.11813561230126624	FALSE	0	STRAP	STRAP
