gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000245849	1	143	-142	-1.847362877520115	0.0589110383814341	0.7344540315382326	-0.6755429931567986	Control	ENSG00000245849	1	0.11108214489237334	FALSE	0	RAD51-AS1	RAD51-AS1
ENSG00000066933	123	2	121	1.505758663109955	0.724189229396013	0.05385301993454329	0.6703362094614698	AD	ENSG00000066933	0.999702469503124	-0.11488338840945288	FALSE	0	MYO9A	MYO9A
ENSG00000007392	1	136	-135	-1.7581162965907975	0.0589110383814341	0.7225528116631955	-0.6636417732817614	Control	ENSG00000007392	0.9994049390062482	0.1140557113713072	FALSE	0	LUC7L	LUC7L
ENSG00000125901	181	4	177	2.2197313105444954	0.771050282653972	0.10874739660815232	0.6623028860458197	AD	ENSG00000125901	0.9991074085093722	-0.0802138303795843	FALSE	0	MRPS26	MRPS26
ENSG00000053372	178	4	174	2.181482775860502	0.767033620946147	0.10874739660815232	0.6582862243379947	AD	ENSG00000053372	0.9988098780124963	-0.15828502789473653	FALSE	0	MRTO4	MRTO4
ENSG00000055130	106	2	104	1.2890169665673272	0.7052960428443915	0.05385301993454329	0.6514430229098482	AD	ENSG00000055130	0.9985123475156203	-0.04614144558429522	FALSE	0	CUL1	CUL1
ENSG00000032389	82	1	81	0.9957782006567129	0.6709312704552216	0.02008330853912526	0.6508479619160964	AD	ENSG00000032389	0.9982148170187444	-0.12707143095803275	FALSE	0	EIPR1	EIPR1
ENSG00000025039	81	1	80	0.9830286890953815	0.6694436179708421	0.02008330853912526	0.6493603094317169	AD	ENSG00000025039	0.9979172865218685	-0.10444606464607986	FALSE	0	RRAGD	RRAGD
ENSG00000197930	78	1	77	0.9447801544113884	0.6649806605177031	0.02008330853912526	0.6448973519785779	AD	ENSG00000197930	0.9976197560249925	-0.15424937933835103	FALSE	0	ERO1A	ERO1A
ENSG00000123562	227	8	219	2.7552107961204	0.8031835763165724	0.18670038678964593	0.6164831895269265	AD	ENSG00000123562	0.9973222255281167	-0.14832904617408538	FALSE	0	MORF4L2	MORF4L2
ENSG00000037241	58	1	57	0.6897899231847672	0.6204998512347516	0.02008330853912526	0.6004165426956264	AD	ENSG00000037241	0.9970246950312407	-0.1208769120169837	FALSE	0	RPL26L1	RPL26L1
ENSG00000071537	88	3	85	1.046776246902037	0.6800059506099375	0.08196965188931865	0.5980362987206189	AD	ENSG00000071537	0.9967271645343647	-0.17074464970945868	FALSE	0	SEL1L	SEL1L
ENSG00000122550	55	1	54	0.651541388500774	0.6096399880987802	0.02008330853912526	0.589556679559655	AD	ENSG00000122550	0.9964296340374889	-0.07663185899028413	FALSE	0	KLHL7	KLHL7
ENSG00000226696	1	88	-87	-1.1461397416469066	0.0589110383814341	0.6460874739660816	-0.5871764355846475	Control	ENSG00000226696	0.9961321035406129	0.05943873409493872	FALSE	0	LENG8-AS1	LENG8-AS1
ENSG00000285994	1	87	-86	-1.1333902300855754	0.0589110383814341	0.64400476048795	-0.5850937221065159	Control	ENSG00000285994	0.995834573043737	0.3755165017100577	FALSE	0	NA	ENSG00000285994
ENSG00000177459	52	1	51	0.6132928538167808	0.6047307349003272	0.02008330853912526	0.584647426361202	AD	ENSG00000177459	0.995537042546861	-0.2049695514049219	FALSE	0	ERICH5	ERICH5
ENSG00000013503	94	4	90	1.1105238047086925	0.6914608747396608	0.10874739660815232	0.5827134781315084	AD	ENSG00000013503	0.9952395120499852	-0.12502177445551155	FALSE	0	POLR3B	POLR3B
ENSG00000127561	76	3	73	0.8937821081660642	0.6596251115739363	0.08196965188931865	0.5776554596846177	AD	ENSG00000127561	0.9947932163046712	-0.1440173996673089	FALSE	0	SYNGR3	SYNGR3
ENSG00000204394	76	3	73	0.8937821081660642	0.6596251115739363	0.08196965188931865	0.5776554596846177	AD	ENSG00000204394	0.9947932163046712	-0.13182977122979975	FALSE	0	VARS1	VARS1
ENSG00000141101	62	2	60	0.7280384578687604	0.6294257661410294	0.05385301993454329	0.5755727462064861	AD	ENSG00000141101	0.9943469205593574	-0.07823785538680106	FALSE	0	NOB1	NOB1
ENSG00000248483	3	176	-173	-2.242597735921378	0.19518000595060991	0.7701576911633442	-0.5749776852127343	Control	ENSG00000248483	0.9940493900624814	0.19252343949438977	FALSE	0	POU5F2	POU5F2
ENSG00000254996	1	81	-80	-1.056893160717589	0.0589110383814341	0.631062183873847	-0.572151145492413	Control	ENSG00000254996	0.9937518595656055	0.21200960528281687	FALSE	0	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
ENSG00000127824	59	2	57	0.6897899231847672	0.6234751562035109	0.05385301993454329	0.5696221362689676	AD	ENSG00000127824	0.9934543290687295	-0.24378911329612407	FALSE	0	TUBA4A	TUBA4A
ENSG00000110218	86	4	82	1.0085277122180438	0.6771794108896162	0.10874739660815232	0.5684320142814638	AD	ENSG00000110218	0.9931567985718536	-0.2014472538862222	FALSE	0	PANX1	PANX1
ENSG00000103415	84	4	80	0.9830286890953815	0.6740553406724189	0.10874739660815232	0.5653079440642665	AD	ENSG00000103415	0.9928592680749777	0.02396242291178829	FALSE	0	HMOX2	HMOX2
ENSG00000196305	70	3	67	0.8172850387980778	0.6471288307051473	0.08196965188931865	0.5651591788158286	AD	ENSG00000196305	0.9925617375781017	-0.22348296072303064	FALSE	0	IARS1	IARS1
ENSG00000163328	149	8	141	1.760748894336577	0.7490330258851532	0.18670038678964593	0.5623326390955072	AD	ENSG00000163328	0.9922642070812259	-0.1784679108661784	FALSE	0	GPR155	GPR155
ENSG00000131504	66	3	63	0.7662869925527536	0.6377566200535555	0.08196965188931865	0.5557869681642369	AD	ENSG00000131504	0.9919666765843499	-0.1036356449639193	FALSE	0	DIAPH1	DIAPH1
ENSG00000165782	1	75	-74	-0.9803960913496026	0.0589110383814341	0.614251710800357	-0.5553406724189229	Control	ENSG00000165782	0.9916691460874739	-0.09133759572824827	FALSE	0	PIP4P1	PIP4P1
ENSG00000164683	157	9	148	1.8499954752658945	0.7534959833382922	0.2008330853912526	0.5526628979470396	AD	ENSG00000164683	0.991371615590598	-0.10926609387249896	FALSE	0	HEY1	HEY1
ENSG00000127463	2	118	-116	-1.5158755769255077	0.1474263612020232	0.6986016066646832	-0.55117524546266	Control	ENSG00000127463	0.9909253198452841	-0.11983391057946768	FALSE	0	EMC1	EMC1
ENSG00000185825	89	5	84	1.034026735340706	0.682088664088069	0.13091341862540912	0.55117524546266	AD	ENSG00000185825	0.9909253198452841	-0.07663015182622956	FALSE	0	BCAP31	BCAP31
ENSG00000143061	76	4	72	0.8810325966047331	0.6596251115739363	0.10874739660815232	0.550877714965784	AD	ENSG00000143061	0.9903302588515323	-0.22216515379144397	FALSE	0	IGSF3	IGSF3
ENSG00000163938	52	2	50	0.6005433422554497	0.6047307349003272	0.05385301993454329	0.550877714965784	AD	ENSG00000163938	0.9903302588515323	-0.12109823992637024	FALSE	0	GNL3	GNL3
ENSG00000151320	228	13	215	2.704212749875076	0.8037786373103243	0.25825647128830703	0.5455221660220173	AD	ENSG00000151320	0.9898839631062184	-0.15857859953550602	FALSE	0	AKAP6	AKAP6
ENSG00000125851	84	5	79	0.9702791775340506	0.6740553406724189	0.13091341862540912	0.5431419220470097	AD	ENSG00000125851	0.9895864326093424	-0.08312993573946414	FALSE	0	PCSK2	PCSK2
ENSG00000109466	58	3	55	0.6642909000621051	0.6204998512347516	0.08196965188931865	0.538530199345433	AD	ENSG00000109466	0.9892889021124666	-0.0621382438922744	FALSE	0	KLHL2	KLHL2
ENSG00000136842	93	6	87	1.0722752700246991	0.6890806307646534	0.15233561440047605	0.5367450163641774	AD	ENSG00000136842	0.9889913716155906	-0.09363002699701362	FALSE	0	TMOD1	TMOD1
ENSG00000125304	46	2	44	0.5240462728874633	0.5855400178518299	0.05385301993454329	0.5316869979172866	AD	ENSG00000125304	0.9886938411187147	-0.11070883741783	FALSE	0	TM9SF2	TM9SF2
ENSG00000179271	67	4	63	0.7662869925527536	0.639839333531687	0.10874739660815232	0.5310919369235346	AD	ENSG00000179271	0.9883963106218387	-0.10025463128313028	FALSE	0	GADD45GIP1	GADD45GIP1
ENSG00000102103	143	10	133	1.6587528018459283	0.7417435287116929	0.216155905980363	0.5255876227313299	AD	ENSG00000102103	0.9880987801249628	-0.05792280728620902	FALSE	0	PQBP1	PQBP1
ENSG00000162755	36	1	35	0.40930066883548377	0.5450758702767033	0.02008330853912526	0.5249925617375781	AD	ENSG00000162755	0.9878012496280869	-0.20459063682480935	FALSE	0	KLHDC9	KLHDC9
ENSG00000125352	155	11	144	1.79899742902057	0.7527521570961023	0.23073490032728355	0.5220172567688188	AD	ENSG00000125352	0.9875037191312109	-0.07513167811720312	FALSE	0	RNF113A	RNF113A
