gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000196353	362	1	361	2.5311627074446093	0.8102481985588471	0.02962369895916733	0.7806244995996798	AD	ENSG00000196353	1	-0.35720140773005227	FALSE	0	CPNE4	CPNE4
ENSG00000139970	442	2	440	3.101087301270238	0.8476781425140112	0.0788630904723779	0.7688150520416333	AD	ENSG00000139970	0.999599679743795	-0.4289087538197158	FALSE	0	RTN1	RTN1
ENSG00000164619	1	322	-321	-2.3889458114044895	0.072257806244996	0.8252602081665332	-0.7530024019215372	Control	ENSG00000164619	0.9991993594875901	-0.1144931705098866	FALSE	0	BMPER	BMPER
ENSG00000163412	472	3	469	3.3103001268517978	0.8642914331465172	0.11188951160928742	0.7524019215372298	AD	ENSG00000163412	0.9987990392313851	-0.13158915988852726	FALSE	0	EIF4E3	EIF4E3
ENSG00000138311	450	4	446	3.144372713459526	0.8526821457165733	0.13690952762209768	0.7157726180944757	AD	ENSG00000138311	0.9983987189751802	-0.32343311347917947	FALSE	0	ZNF365	ZNF365
ENSG00000167642	1	262	-261	-1.956091689511607	0.072257806244996	0.7858286629303443	-0.7135708566853483	Control	ENSG00000167642	0.9979983987189752	0.0246163389933951	FALSE	0	SPINT2	SPINT2
ENSG00000158195	2	365	-363	-2.691943696729507	0.1801441152922338	0.8548839071257006	-0.6747397918334668	Control	ENSG00000158195	0.9975980784627703	0.2911706080920329	FALSE	0	WASF2	WASF2
ENSG00000102053	183	1	182	1.2398145771308426	0.6949559647718174	0.02962369895916733	0.6653322658126501	AD	ENSG00000102053	0.9971977582065652	-0.10568091053499629	FALSE	0	ZC3H12B	ZC3H12B
ENSG00000174453	243	2	241	1.665454463658844	0.734187349879904	0.0788630904723779	0.655324259407526	AD	ENSG00000174453	0.9967974379503602	-0.17488465458134428	FALSE	0	VWC2L	VWC2L
ENSG00000154027	242	2	240	1.6582402282939626	0.7331865492393915	0.0788630904723779	0.6543234587670136	AD	ENSG00000154027	0.9963971176941553	-0.2872311041425757	FALSE	0	AK5	AK5
ENSG00000108094	2	324	-322	-2.3961600467693707	0.1801441152922338	0.8260608486789431	-0.6459167333867093	Control	ENSG00000108094	0.9959967974379503	-0.0682591909393846	FALSE	0	CUL2	CUL2
ENSG00000013297	1	180	-179	-1.3645243895913342	0.072257806244996	0.7151721377101682	-0.6429143314651722	Control	ENSG00000013297	0.9955964771817454	-9.357431741658928e-4	FALSE	0	CLDN11	CLDN11
ENSG00000131966	2	310	-308	-2.2951607516610317	0.1801441152922338	0.8196557245796637	-0.63951160928743	Control	ENSG00000131966	0.9951961569255404	-0.20160865152304552	FALSE	0	ACTR10	ACTR10
ENSG00000197562	141	1	140	0.9368166918058248	0.6681345076060848	0.02962369895916733	0.6385108086469176	AD	ENSG00000197562	0.9947958366693355	-0.1074281758904032	FALSE	0	RAB40C	RAB40C
ENSG00000103353	2	295	-293	-2.1869472211878107	0.1801441152922338	0.8102481985588471	-0.6301040832666134	Control	ENSG00000103353	0.9943955164131305	-0.0166992399163135	FALSE	0	UBFD1	UBFD1
ENSG00000137727	1	168	-167	-1.2779535652127576	0.072257806244996	0.7011609287429944	-0.6289031224979984	Control	ENSG00000137727	0.9939951961569256	-0.01379493710715529	FALSE	0	ARHGAP20	ARHGAP20
ENSG00000114383	3	384	-381	-2.821799933297372	0.24079263410728585	0.8656925540432346	-0.6248999199359488	Control	ENSG00000114383	0.9935948759007206	-0.04388736451203456	FALSE	0	TUSC2	TUSC2
ENSG00000169758	194	2	192	1.3119569307796566	0.7031625300240192	0.0788630904723779	0.6242994395516412	AD	ENSG00000169758	0.9931945556445156	-0.18329557662810103	FALSE	0	TMEM266	TMEM266
