gene	region	logFC	t	adj.P.Val	B	direction	label
ENSG00000226140	CRB	1.742793313134901	7.21846941543745	2.3829042345943615e-7	15.516359464231744	Overexpressed	LINC02654
ENSG00000197415	CRB	-1.4614933607802605	-7.220395286151435	2.3829042345943615e-7	15.428114810696512	Underexpressed	VEPH1
ENSG00000237686	CRB	-1.2230288006764578	-6.797985128838815	1.4318448136540928e-6	13.370883373900076	Underexpressed	SCIRT
ENSG00000175189	CRB	-1.2675852462844648	-6.681537676619857	1.8912445379313907e-6	12.840507861503806	Underexpressed	INHBC
ENSG00000206601	CRB	1.3160933981642955	6.5588510788056205	2.929297252694973e-6	12.2234333404621	Overexpressed	RNU6-431P
ENSG00000266306	CRB	1.2706234467107071	6.3857165840518135	5.393916712782232e-6	11.363956511926908	Overexpressed	NA
ENSG00000272068	CRB	-1.091497593806949	-6.38072397107024	5.393916712782232e-6	11.339373739372572	Underexpressed	BCAN-AS1
ENSG00000203413	CRB	1.7581509135691358	6.301873752429382	8.54333463766982e-6	10.79192322783235	Overexpressed	ACTBP6
ENSG00000228107	CRB	0.7831232845778802	6.1979999385690725	1.0911065020315738e-5	10.447673062135244	Overexpressed	NA
ENSG00000286322	CRB	-1.004958947215571	-6.082706809098217	1.6299729453538376e-5	9.893242806404874	Underexpressed	NA
ENSG00000110492	CRB	-1.184486083604721	-6.0952136840469695	1.6299729453538376e-5	9.889236352621484	Underexpressed	MDK
ENSG00000279727	CRB	-1.1963964897525736	-6.086652494602429	1.7480318198080222e-5	9.74754738207523	Underexpressed	LINC02033
ENSG00000283217	CRB	-1.4774704288503555	-6.029994004472138	1.955653851814715e-5	9.564569839753222	Underexpressed	NA
ENSG00000249456	CRB	1.1008902873102726	5.977865049488825	2.055763965334784e-5	9.394753490814937	Overexpressed	NA
ENSG00000228521	CRB	1.93738488804689	6.036533130870314	2.055763965334784e-5	9.394210460539725	Overexpressed	NA
ENSG00000287283	CRB	-1.3223480525922664	-5.942708355765188	2.4607268215753413e-5	9.154452759825352	Underexpressed	NA
ENSG00000160991	CRB	0.6438889684648945	5.911223381395001	2.4607268215753413e-5	9.080767110544802	Overexpressed	ORAI2
ENSG00000207956	CRB	1.1699791416445908	5.903357303815041	2.4607268215753413e-5	9.043854907992491	Overexpressed	MIR579
ENSG00000285569	CRB	1.0798367259920112	5.869999697798321	2.7179912666824628e-5	8.887674728367646	Overexpressed	NA
ENSG00000267322	CRB	-0.9675300383936714	-5.86259470710167	2.7179912666824628e-5	8.853082363998052	Underexpressed	SNHG22
ENSG00000286977	CRB	-1.291086895516612	-5.899851939938884	2.7179912666824628e-5	8.8184668778481	Underexpressed	NA
ENSG00000274370	CRB	-0.9876965218103616	-5.8165183939504255	3.111913030681695e-5	8.638476059403096	Underexpressed	NA
ENSG00000279530	CRB	1.0060856557198674	5.798652978813224	3.315640722766673e-5	8.538993260424467	Overexpressed	NA
ENSG00000133067	CRB	-1.1261475121693143	-5.80037020293901	3.3269080014156124e-5	8.496660951278239	Underexpressed	LGR6
ENSG00000260583	CRB	-0.8053149443635945	-5.7774433279215165	3.3269080014156124e-5	8.457347306688568	Underexpressed	NA
ENSG00000165370	CRB	1.3040973762818415	5.7918156428681	3.690254736353912e-5	8.314558447980529	Overexpressed	GPR101
ENSG00000261888	CRB	-1.0291138754573668	-5.7546592789334445	3.690254736353912e-5	8.292641452910578	Underexpressed	NA
ENSG00000254081	CRB	-1.6369513005267424	-5.768264878698109	3.700347084601064e-5	8.22051692970325	Underexpressed	LINC01299
ENSG00000102802	CRB	1.445800896658796	5.749289625971883	3.700347084601064e-5	8.175619735983627	Overexpressed	MEDAG
ENSG00000286369	CRB	-0.908054170631816	-5.709608645993199	3.700347084601064e-5	8.144819316137676	Underexpressed	NA
ENSG00000278456	CRB	-1.1700056304206785	-5.716100908740228	3.700347084601064e-5	8.136065430649975	Underexpressed	NA
ENSG00000261671	CRB	-0.9248958194100236	-5.706103631115754	3.700347084601064e-5	8.128737487257172	Underexpressed	NA
ENSG00000204228	CRB	-1.0863768057873315	-5.718232106446672	3.7927890069518466e-5	8.082997920224578	Underexpressed	HSD17B8
ENSG00000274210	CRB	0.9099234811079198	5.673605526434143	4.086978736968053e-5	7.979941897115678	Overexpressed	RNVU1-27
ENSG00000228643	CRB	1.199182478489114	5.6586805576626515	4.810254999369223e-5	7.807712379302126	Overexpressed	NA
ENSG00000268442	CRB	-0.7818105274562992	-5.614900804451749	5.083898817881968e-5	7.712600051627142	Underexpressed	NA
ENSG00000100249	CRB	-0.9819366652190622	-5.611427555660077	5.083898817881968e-5	7.690706495454957	Underexpressed	C22orf31
ENSG00000236914	CRB	-0.8694244500166475	-5.6063089400256905	5.083898817881968e-5	7.673629548183538	Underexpressed	LINC01852
ENSG00000272506	CRB	-1.235421135944502	-5.595912629621562	5.564223250946447e-5	7.5349732564145775	Underexpressed	NA
ENSG00000273451	CRB	0.9609408839526878	5.574185327030326	5.564223250946447e-5	7.528282435100021	Overexpressed	NA
ENSG00000276600	CRB	-1.1722609543142726	-5.594962424882085	5.564223250946447e-5	7.525153484779596	Underexpressed	RAB7B
ENSG00000214039	CRB	-1.2742983296013382	-5.5755688037458055	6.608855002416125e-5	7.34862840070487	Underexpressed	LINC02418
ENSG00000170703	CRB	-1.0118205635358477	-5.503545008160979	7.556001752319804e-5	7.191869984035701	Underexpressed	TTLL6
ENSG00000259236	CRB	-0.9884434237913328	-5.435383956725648	1.002458757318007e-4	6.906821130274411	Underexpressed	GOLGA8VP
ENSG00000104883	CRB	-0.8485834862120676	-5.4254139898319504	1.020667332233358e-4	6.862597417456456	Underexpressed	PEX11G
ENSG00000278998	CRB	1.7313997841486335	5.468077231978599	1.020667332233358e-4	6.861735042814763	Overexpressed	NA
ENSG00000225684	CRB	-1.3139116704289342	-5.444169694307002	1.022200064175329e-4	6.814157687639245	Underexpressed	FAM225B
ENSG00000182040	CRB	-1.4248293968824273	-5.455365830167286	1.022200064175329e-4	6.808871478393453	Underexpressed	USH1G
ENSG00000139269	CRB	-0.8632624686627652	-5.408754873843974	1.022200064175329e-4	6.788828252450163	Underexpressed	INHBE
ENSG00000280157	CRB	-0.9906750021934884	-5.415746570346864	1.034960470431646e-4	6.762544199381116	Underexpressed	NA
ENSG00000153002	CRB	-1.2882527777812802	-5.393753694966065	1.0540939718034937e-4	6.701570936113935	Underexpressed	CPB1
ENSG00000179058	CRB	-1.03934907677412	-5.404428162680125	1.0540939718034937e-4	6.688142037970076	Underexpressed	C9orf50
ENSG00000145248	CRB	-0.7258417708024072	-5.382420434090625	1.0540939718034937e-4	6.67253681780854	Underexpressed	SLC10A4
ENSG00000272279	CRB	-1.066601713570757	-5.392763585849766	1.0540939718034937e-4	6.673319476405419	Underexpressed	NA
