gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000226140	1.742793313134901	2.1835512729925286	7.21846941543745	1.8229255008549737e-11	2.3829042345943612e-7	15.516359464231744
ENSG00000197415	-1.4614933607802603	4.2635059726641344	-7.220395286151435	2.0069942176319054e-11	2.3829042345943612e-7	15.428114810696513
ENSG00000237686	-1.2230288006764578	4.979065538979912	-6.797985128838815	1.8089507457939352e-10	1.4318448136540928e-6	13.370883373900075
ENSG00000175189	-1.2675852462844648	3.8032937397802726	-6.681537676619857	3.1857905128129213e-10	1.8912445379313907e-6	12.840507861503806
ENSG00000206601	1.3160933981642957	3.165331513254012	6.5588510788056205	6.167980402372974e-10	2.9292972526949726e-6	12.223433340462101
ENSG00000266306	1.2706234467107071	2.8127711664762325	6.3857165840518135	1.5487176127585594e-9	5.393916712782232e-6	11.363956511926908
ENSG00000272068	-1.0914975938069493	4.278458168347621	-6.38072397107024	1.590053777035106e-9	5.393916712782232e-6	11.339373739372572
ENSG00000203413	1.7581509135691358	1.637137896767074	6.301873752429382	2.8782395814603956e-9	8.54333463766982e-6	10.79192322783235
ENSG00000228107	0.7831232845778802	6.739881605962065	6.1979999385690725	4.135415867213074e-9	1.0911065020315738e-5	10.447673062135244
ENSG00000286322	-1.004958947215571	5.6386291033311275	-6.082706809098217	7.495273051751339e-9	1.6299729453538376e-5	9.893242806404874
ENSG00000110492	-1.184486083604721	9.306659265109136	-6.0952136840469695	7.550620061859773e-9	1.6299729453538376e-5	9.889236352621484
ENSG00000279727	-1.1963964897525736	6.063972884102163	-6.086652494602429	8.83364854615357e-9	1.7480318198080222e-5	9.74754738207523
ENSG00000283217	-1.4774704288503555	2.271541757819507	-6.029994004472138	1.0706434798951949e-8	1.955653851814715e-5	9.564569839753222
ENSG00000249456	1.1008902873102726	3.6559853141052394	5.977865049488825	1.2797405511162955e-8	2.055763965334784e-5	9.394753490814937
ENSG00000228521	1.93738488804689	5.054923728702939	6.036533130870314	1.2985959521612803e-8	2.055763965334784e-5	9.394210460539723
ENSG00000287283	-1.3223480525922664	3.1665287635783095	-5.942708355765188	1.6629712904029965e-8	2.4607268215753413e-5	9.154452759825352
ENSG00000160991	0.6438889684648945	12.170114523833721	5.911223381395001	1.7927930261664373e-8	2.4607268215753413e-5	9.080767110544802
