gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000168743	1.0143467015602479	7.716690318489709	8.000860321314848	3.15088624618684e-13	7.186226261678326e-9	19.36337514851304
ENSG00000079432	0.2244890143043481	12.55849645868944	6.374102459013455	2.1567693816060774e-9	1.6137537853412e-5	11.08413683901173
ENSG00000162747	2.1995425377325732	4.934186652505825	6.33827545226174	2.5943532627366752e-9	1.6137537853412e-5	10.911298698796585
ENSG00000259366	0.7037918410048878	6.94737711464398	6.30238659978307	3.1160793027454725e-9	1.6137537853412e-5	10.739830026432706
ENSG00000069667	0.5303726470367636	10.424156642084531	6.277459421111238	3.5378475585153684e-9	1.6137537853412e-5	10.621054620976608
ENSG00000154188	0.8153092378749909	7.511053101950161	6.199185606046742	5.261221056334619e-9	1.6248580598151202e-5	10.24981946425002
ENSG00000090339	1.0229629367175912	7.540637340929895	6.182297278192315	5.729514719467785e-9	1.6248580598151202e-5	10.17007006557095
ENSG00000261609	0.6317252196766505	7.609338451550542	6.165527986254447	6.234956514137063e-9	1.6248580598151202e-5	10.091006252717943
ENSG00000096968	0.3297380137724737	9.253278112754558	6.159826222725151	6.4119448144587535e-9	1.6248580598151202e-5	10.064799683400746
ENSG00000167202	0.3129313344741682	10.433096489875073	6.119235803620064	7.866268080973412e-9	1.794059761227606e-5	9.873667682266955
ENSG00000256537	-0.3560694803271005	10.036482414742903	-6.015399498213235	1.3215060102289779e-8	2.7269274639917832e-5	9.388751014751367
ENSG00000125107	0.5019515478794769	10.68913116567932	5.998836111969847	1.4347844770421976e-8	2.7269274639917832e-5	9.31189610606453
ENSG00000185722	0.39145807957590684	11.394374902591734	5.9445386964964095	1.877084960506997e-8	3.293128976483314e-5	9.060838899746177
ENSG00000092969	0.9305218885672488	9.648974567181284	5.92152009663287	2.1026844914004054e-8	3.38163021990676e-5	8.954819644403834
ENSG00000180871	2.026113288253846	3.8800719609613146	5.900338538796245	2.3336416748179373e-8	3.38163021990676e-5	8.85748040141414
ENSG00000179954	0.5359837139386379	7.619542491555225	5.896991309121478	2.3723454868465014e-8	3.38163021990676e-5	8.842117580237492
ENSG00000074964	0.2517276842095928	10.68322379006296	5.884157497806541	2.5242431472674243e-8	3.386494909395773e-5	8.784109591516643
ENSG00000205730	0.5989331407909155	9.514978088377601	5.859451413166447	2.851920193657073e-8	3.539909800048733e-5	8.670182494205267
ENSG00000175556	0.6954631962950524	7.175985642614844	5.852610092631218	2.9490194326709307e-8	3.539909800048733e-5	8.638920754196945
ENSG00000251442	0.9434370839838664	8.816372128426035	5.821764117004161	3.428582212701759e-8	3.909783726254451e-5	8.498245741466071
