region	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	term_simple	direction
CRB	REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	68	-0.5258921284245662	-1.8643199311826064	3.6887495714219714e-5	5.190597611215203e-4	4.734753746347214e-4	8508	tags=69%, list=36%, signal=44%	ENSG00000174886/ENSG00000147123/ENSG00000083099/ENSG00000184983/ENSG00000184752/ENSG00000137806/ENSG00000145494/ENSG00000119421/ENSG00000156170/ENSG00000110074/ENSG00000131495/ENSG00000106603/ENSG00000165264/ENSG00000119013/ENSG00000166136/ENSG00000168653/ENSG00000224877/ENSG00000151413/ENSG00000164258/ENSG00000198888/ENSG00000099795/ENSG00000160194/ENSG00000170906/ENSG00000110717/ENSG00000151366/ENSG00000198786/ENSG00000113845/ENSG00000065518/ENSG00000147684/ENSG00000183605/ENSG00000125356/ENSG00000178057/ENSG00000171202/ENSG00000183648/ENSG00000177646/ENSG00000128609/ENSG00000171204/ENSG00000109390/ENSG00000198886/ENSG00000100209/ENSG00000267855/ENSG00000198763/ENSG00000136521/ENSG00000198695/ENSG00000137038/ENSG00000198840/ENSG00000155463	COMPLEX I BIOGENESIS	Down
CRB	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	96	-0.50822957671575	-1.863925262591664	4.7247954412096076e-6	7.034842226309135e-5	6.417034815800479e-5	8067	tags=62%, list=34%, signal=41%	ENSG00000164405/ENSG00000048544/ENSG00000137124/ENSG00000166855/ENSG00000146701/ENSG00000059573/ENSG00000131828/ENSG00000137992/ENSG00000106153/ENSG00000131495/ENSG00000198836/ENSG00000167969/ENSG00000152234/ENSG00000165264/ENSG00000111275/ENSG00000072062/ENSG00000083720/ENSG00000178741/ENSG00000140740/ENSG00000106028/ENSG00000131143/ENSG00000148672/ENSG00000198888/ENSG00000160194/ENSG00000072506/ENSG00000198786/ENSG00000091140/ENSG00000075239/ENSG00000134809/ENSG00000135940/ENSG00000168291/ENSG00000196177/ENSG00000241837/ENSG00000165629/ENSG00000165487/ENSG00000167283/ENSG00000152256/ENSG00000183172/ENSG00000082212/ENSG00000198712/ENSG00000066926/ENSG00000198899/ENSG00000104823/ENSG00000162600/ENSG00000114054/ENSG00000167863/ENSG00000198804/ENSG00000198763/ENSG00000161267/ENSG00000154723/ENSG00000091483/ENSG00000182054/ENSG00000151093/ENSG00000147465/ENSG00000198695/ENSG00000106591/ENSG00000166816/ENSG00000262814/ENSG00000172340/ENSG00000100575	MITOCHONDRIAL PROTEIN DEGRADATION	Down
CRB	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	158	-0.48403324990777347	-1.8630668279237805	1.20097885461487e-7	1.9484115770751833e-6	1.7772999767984764e-6	9626	tags=73%, list=41%, signal=44%	ENSG00000074582/ENSG00000173660/ENSG00000156885/ENSG00000140990/ENSG00000105341/ENSG00000204370/ENSG00000090266/ENSG00000156467/ENSG00000179091/ENSG00000172115/ENSG00000136003/ENSG00000126602/ENSG00000174886/ENSG00000183513/ENSG00000147123/ENSG00000083099/ENSG00000184983/ENSG00000143252/ENSG00000184752/ENSG00000164405/ENSG00000014641/ENSG00000137806/ENSG00000115944/ENSG00000146701/ENSG00000111775/ENSG00000145494/ENSG00000119421/ENSG00000156170/ENSG00000137288/ENSG00000110074/ENSG00000127184/ENSG00000232838/ENSG00000131495/ENSG00000106603/ENSG00000010256/ENSG00000165264/ENSG00000119013/ENSG00000250317/ENSG00000168569/ENSG00000166136/ENSG00000168653/ENSG00000133983/ENSG00000178741/ENSG00000146066/ENSG00000244005/ENSG00000127540/ENSG00000140740/ENSG00000224877/ENSG00000151413/ENSG00000204954/ENSG00000177542/ENSG00000115520/ENSG00000131143/ENSG00000229833/ENSG00000164258/ENSG00000198727/ENSG00000198888/ENSG00000099795/ENSG00000160194/ENSG00000170906/ENSG00000110717/ENSG00000168273/ENSG00000011295/ENSG00000151366/ENSG00000135469/ENSG00000198786/ENSG00000184076/ENSG00000127838/ENSG00000183978/ENSG00000101019/ENSG00000182902/ENSG00000108528/ENSG00000131174/ENSG00000112695/ENSG00000113845/ENSG00000135940/ENSG00000171503/ENSG00000126267/ENSG00000065518/ENSG00000147684/ENSG00000183605/ENSG00000125356/ENSG00000178057/ENSG00000171202/ENSG00000183648/ENSG00000148290/ENSG00000176340/ENSG00000177646/ENSG00000186687/ENSG00000198712/ENSG00000181061/ENSG00000164919/ENSG00000160471/ENSG00000128609/ENSG00000171204/ENSG00000187118/ENSG00000163626/ENSG00000109390/ENSG00000140374/ENSG00000198886/ENSG00000189043/ENSG00000131055/ENSG00000100209/ENSG00000267855/ENSG00000014919/ENSG00000198804/ENSG00000198763/ENSG00000144120/ENSG00000198938/ENSG00000136521/ENSG00000198695/ENSG00000105379/ENSG00000004864/ENSG00000137038/ENSG00000198840/ENSG00000155463	RESPIRATORY ELECTRON TRANSPORT	Down
CRB	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	256	-0.46615987274690657	-1.8541608589598364	2.1324605342965382e-10	4.431595993464118e-9	4.042408466997155e-9	8548	tags=66%, list=36%, signal=42%	ENSG00000204370/ENSG00000062485/ENSG00000090266/ENSG00000221983/ENSG00000156467/ENSG00000179091/ENSG00000172115/ENSG00000136003/ENSG00000153291/ENSG00000126602/ENSG00000196636/ENSG00000174886/ENSG00000183513/ENSG00000147123/ENSG00000083099/ENSG00000184983/ENSG00000214756/ENSG00000143252/ENSG00000184752/ENSG00000164405/ENSG00000067992/ENSG00000014641/ENSG00000114098/ENSG00000099624/ENSG00000137806/ENSG00000115944/ENSG00000146701/ENSG00000111775/ENSG00000145494/ENSG00000119421/ENSG00000131828/ENSG00000124767/ENSG00000110435/ENSG00000156170/ENSG00000156411/ENSG00000137288/ENSG00000067829/ENSG00000110074/ENSG00000127184/ENSG00000232838/ENSG00000145916/ENSG00000131495/ENSG00000169020/ENSG00000152234/ENSG00000106603/ENSG00000010256/ENSG00000165264/ENSG00000119013/ENSG00000112992/ENSG00000250317/ENSG00000168569/ENSG00000166136/ENSG00000168653/ENSG00000133983/ENSG00000178741/ENSG00000087299/ENSG00000146066/ENSG00000244005/ENSG00000127540/ENSG00000140740/ENSG00000224877/ENSG00000151413/ENSG00000204954/ENSG00000177542/ENSG00000115520/ENSG00000131143/ENSG00000229833/ENSG00000164258/ENSG00000159199/ENSG00000154518/ENSG00000198727/ENSG00000198888/ENSG00000165898/ENSG00000099795/ENSG00000160194/ENSG00000170906/ENSG00000110717/ENSG00000168273/ENSG00000011295/ENSG00000151366/ENSG00000135469/ENSG00000173915/ENSG00000198786/ENSG00000184076/ENSG00000127838/ENSG00000183978/ENSG00000101019/ENSG00000182902/ENSG00000108528/ENSG00000091140/ENSG00000131174/ENSG00000112695/ENSG00000075239/ENSG00000113845/ENSG00000135940/ENSG00000171503/ENSG00000163541/ENSG00000168291/ENSG00000134056/ENSG00000126267/ENSG00000143627/ENSG00000065518/ENSG00000241837/ENSG00000165629/ENSG00000147684/ENSG00000183605/ENSG00000125356/ENSG00000178057/ENSG00000171202/ENSG00000183648/ENSG00000148290/ENSG00000176340/ENSG00000177646/ENSG00000167283/ENSG00000152256/ENSG00000135390/ENSG00000082212/ENSG00000186687/ENSG00000198712/ENSG00000181061/ENSG00000143158/ENSG00000116459/ENSG00000164919/ENSG00000160471/ENSG00000124172/ENSG00000128609/ENSG00000171204/ENSG00000102078/ENSG00000187118/ENSG00000163626/ENSG00000109390/ENSG00000140374/ENSG00000198886/ENSG00000198899/ENSG00000189043/ENSG00000131055/ENSG00000100209/ENSG00000267855/ENSG00000167701/ENSG00000060762/ENSG00000167985/ENSG00000014919/ENSG00000167863/ENSG00000151376/ENSG00000198804/ENSG00000198763/ENSG00000137601/ENSG00000111716/ENSG00000144120/ENSG00000154723/ENSG00000091483/ENSG00000182054/ENSG00000198938/ENSG00000180902/ENSG00000136521/ENSG00000125375/ENSG00000198695/ENSG00000105379/ENSG00000004864/ENSG00000137038/ENSG00000172340/ENSG00000154079/ENSG00000198840/ENSG00000100577/ENSG00000155463/ENSG00000175567/ENSG00000147576/ENSG00000228253	AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANSPORT	Down
CRB	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	52	0.821982013086224	3.5829454807715253	2.0830901782170376e-23	1.9802121609280295e-20	1.8063077991748372e-20	2360	tags=62%, list=10%, signal=56%	ENSG00000273542/ENSG00000273983/ENSG00000273802/ENSG00000277224/ENSG00000274290/ENSG00000158373/ENSG00000183598/ENSG00000277075/ENSG00000270882/ENSG00000197061/ENSG00000278828/ENSG00000180596/ENSG00000277157/ENSG00000158406/ENSG00000276966/ENSG00000185130/ENSG00000134283/ENSG00000124635/ENSG00000197238/ENSG00000274750/ENSG00000278588/ENSG00000275714/ENSG00000287080/ENSG00000180573/ENSG00000275713/ENSG00000276410/ENSG00000196890/ENSG00000197837/ENSG00000233822/ENSG00000184678/ENSG00000286522/ENSG00000184260	REGULATION OF ENDOGENOUS RETROELEMENTS BY THE HUMAN SILENCING HUB HUSH COMPLEX	Up
CRB	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	46	0.8311656055382078	3.5222979735791466	6.716462842156016e-21	1.0291113621481274e-18	9.387336954826246e-19	2360	tags=67%, list=10%, signal=61%	ENSG00000273542/ENSG00000273983/ENSG00000273802/ENSG00000277224/ENSG00000274290/ENSG00000158373/ENSG00000183598/ENSG00000277075/ENSG00000270882/ENSG00000197061/ENSG00000278828/ENSG00000180596/ENSG00000277157/ENSG00000158406/ENSG00000276966/ENSG00000185130/ENSG00000124635/ENSG00000197238/ENSG00000274750/ENSG00000278588/ENSG00000275714/ENSG00000287080/ENSG00000180573/ENSG00000275713/ENSG00000276410/ENSG00000196890/ENSG00000197837/ENSG00000233822/ENSG00000184678/ENSG00000286522/ENSG00000184260	ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR ANDROGEN RECEPTOR REGULATED GENES KLK2 AND KLK3	Up
CRB	REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	45	0.8187653886407655	3.5179931989452955	8.546905753624865e-20	1.0714711849316989e-17	9.773734330700205e-18	2360	tags=69%, list=10%, signal=62%	ENSG00000273542/ENSG00000273983/ENSG00000273802/ENSG00000277224/ENSG00000274290/ENSG00000158373/ENSG00000183598/ENSG00000277075/ENSG00000270882/ENSG00000197061/ENSG00000278828/ENSG00000180596/ENSG00000277157/ENSG00000158406/ENSG00000276966/ENSG00000185130/ENSG00000124635/ENSG00000197238/ENSG00000274750/ENSG00000278588/ENSG00000275714/ENSG00000287080/ENSG00000180573/ENSG00000275713/ENSG00000276410/ENSG00000196890/ENSG00000197837/ENSG00000233822/ENSG00000184678/ENSG00000286522/ENSG00000184260	DNA METHYLATION	Up
CRB	REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	74	0.740936143119755	3.5027932337226986	8.932338491846875e-23	4.105898260085614e-20	3.745313858862111e-20	2360	tags=51%, list=10%, signal=46%	ENSG00000273542/ENSG00000273983/ENSG00000273802/ENSG00000277224/ENSG00000274290/ENSG00000184270/ENSG00000203814/ENSG00000158373/ENSG00000183598/ENSG00000277075/ENSG00000270882/ENSG00000197061/ENSG00000278828/ENSG00000196747/ENSG00000180596/ENSG00000277157/ENSG00000158406/ENSG00000276966/ENSG00000185130/ENSG00000124635/ENSG00000196787/ENSG00000197238/ENSG00000274750/ENSG00000278588/ENSG00000275714/ENSG00000287080/ENSG00000180573/ENSG00000275713/ENSG00000276410/ENSG00000196890/ENSG00000197837/ENSG00000071655/ENSG00000233822/ENSG00000276903/ENSG00000184678/ENSG00000132522/ENSG00000286522/ENSG00000184260	HDACS DEACETYLATE HISTONES	Up
DLPFC	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	250	-0.5796313671207957	-3.019194797112565	4.858733852585238e-33	6.724487651977969e-30	4.142709916414782e-30	4140	tags=54%, list=17%, signal=45%	ENSG00000010017/ENSG00000165898/ENSG00000119421/ENSG00000126267/ENSG00000189043/ENSG00000140374/ENSG00000099624/ENSG00000204370/ENSG00000170315/ENSG00000178449/ENSG00000164919/ENSG00000163541/ENSG00000170906/ENSG00000105953/ENSG00000168653/ENSG00000164258/ENSG00000173660/ENSG00000123545/ENSG00000003509/ENSG00000183978/ENSG00000131143/ENSG00000158864/ENSG00000130159/ENSG00000090316/ENSG00000178741/ENSG00000004961/ENSG00000101365/ENSG00000115840/ENSG00000005882/ENSG00000119013/ENSG00000099795/ENSG00000173915/ENSG00000135940/ENSG00000109390/ENSG00000131495/ENSG00000139180/ENSG00000182054/ENSG00000067829/ENSG00000171204/ENSG00000137806/ENSG00000090266/ENSG00000010256/ENSG00000177542/ENSG00000179091/ENSG00000065518/ENSG00000125166/ENSG00000063854/ENSG00000169021/ENSG00000181061/ENSG00000151729/ENSG00000166411/ENSG00000180185/ENSG00000060762/ENSG00000247077/ENSG00000075239/ENSG00000159199/ENSG00000114098/ENSG00000213619/ENSG00000151366/ENSG00000154723/ENSG00000108528/ENSG00000145494/ENSG00000130414/ENSG00000131174/ENSG00000184076/ENSG00000115944/ENSG00000164405/ENSG00000115520/ENSG00000134056/ENSG00000186687/ENSG00000164951/ENSG00000143252/ENSG00000167863/ENSG00000155463/ENSG00000154079/ENSG00000156411/ENSG00000147123/ENSG00000067992/ENSG00000087299/ENSG00000168291/ENSG00000102078/ENSG00000165264/ENSG00000136463/ENSG00000172115/ENSG00000091140/ENSG00000168569/ENSG00000196636/ENSG00000120053/ENSG00000082212/ENSG00000136143/ENSG00000062485/ENSG00000023228/ENSG00000165629/ENSG00000151376/ENSG00000184983/ENSG00000014919/ENSG00000154518/ENSG00000135070/ENSG00000134333/ENSG00000124767/ENSG00000065833/ENSG00000091483/ENSG00000106603/ENSG00000101019/ENSG00000011295/ENSG00000014641/ENSG00000144120/ENSG00000067225/ENSG00000136003/ENSG00000152234/ENSG00000004779/ENSG00000205138/ENSG00000112992/ENSG00000110955/ENSG00000214756/ENSG00000100412/ENSG00000150768/ENSG00000127838/ENSG00000131828/ENSG00000143158/ENSG00000178057/ENSG00000213585/ENSG00000113013/ENSG00000167792/ENSG00000110435/ENSG00000146701/ENSG00000244005/ENSG00000137038/ENSG00000117118/ENSG00000128609/ENSG00000140740/ENSG00000177646/ENSG00000163626/ENSG00000116459/ENSG00000136521/ENSG00000126602	AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANSPORT	Down
DLPFC	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	96	-0.6133351337960871	-2.787253942514536	5.202979889792672e-15	8.001026852747842e-13	4.929138842961479e-13	4588	tags=62%, list=19%, signal=51%	ENSG00000167283/ENSG00000169230/ENSG00000067704/ENSG00000138796/ENSG00000059573/ENSG00000119673/ENSG00000142192/ENSG00000183172/ENSG00000151498/ENSG00000106028/ENSG00000105953/ENSG00000131143/ENSG00000125656/ENSG00000144381/ENSG00000178741/ENSG00000135940/ENSG00000131495/ENSG00000182054/ENSG00000048544/ENSG00000134375/ENSG00000166411/ENSG00000023330/ENSG00000075239/ENSG00000213619/ENSG00000154723/ENSG00000196365/ENSG00000134809/ENSG00000164405/ENSG00000141385/ENSG00000005022/ENSG00000072062/ENSG00000167863/ENSG00000106591/ENSG00000168291/ENSG00000165264/ENSG00000066926/ENSG00000091140/ENSG00000082212/ENSG00000062485/ENSG00000023228/ENSG00000165629/ENSG00000147465/ENSG00000091483/ENSG00000136758/ENSG00000137124/ENSG00000152234/ENSG00000110955/ENSG00000100412/ENSG00000083720/ENSG00000131828/ENSG00000165688/ENSG00000161267/ENSG00000113013/ENSG00000167792/ENSG00000146701/ENSG00000140740/ENSG00000114054/ENSG00000196177/ENSG00000106153/ENSG00000198836	MITOCHONDRIAL PROTEIN DEGRADATION	Down
