node,degree,pagerank,kcore,membership_infomap
4,5,0.0107847270029331,4,1
9,5,0.00941188258049544,4,2
3,4,0.00705622829979424,3,3
2,9,0.019510606867198,4,4
1,1,0.00352162884505417,1,5
11,12,0.0219340880189489,4,6
15,2,0.00396893129858101,2,7
6,7,0.01389605111896,4,6
22,8,0.0163887098862984,4,8
5,3,0.00869021180016866,3,2
23,9,0.0164572910175833,4,9
7,5,0.0107758688398195,4,10
24,4,0.0121668887388626,3,2
17,3,0.00935114705962894,3,3
10,3,0.0076579127983896,2,1
16,6,0.0153050069385653,3,5
30,8,0.016295748050177,4,4
20,7,0.0146458256975914,4,11
18,5,0.0109463453089744,4,4
34,5,0.00867840014547627,3,9
14,4,0.0067024785829272,4,4
19,3,0.00567987504622511,3,11
31,2,0.00473735378658779,2,3
25,6,0.00934531835526066,4,9
36,2,0.00465160846271195,2,5
8,1,0.00497193742569076,1,12
21,4,0.00689919638535611,2,7
37,5,0.00964039931130433,4,9
39,3,0.00681399772364832,3,11
42,6,0.00790256169127355,4,1
35,7,0.0157705612878224,4,11
38,4,0.0102488571939287,3,13
51,3,0.00893623170695449,2,13
26,4,0.0118617851911063,3,6
27,3,0.0058496912565554,3,2
53,5,0.0110829377218504,4,11
55,5,0.00709123416607073,4,2
56,7,0.00947898447931957,4,7
43,3,0.00580255563500271,2,10
44,5,0.00889678918051737,4,4
60,5,0.0121288068203939,3,5
45,7,0.0146896818043507,4,10
46,7,0.0159146617286078,4,12
48,4,0.00955972182686539,3,9
61,3,0.00568787427925321,3,14
28,2,0.00534135963438174,2,2
13,5,0.00937315751763098,3,6
47,4,0.00909804324441139,3,7
50,6,0.0130374936712444,4,2
57,8,0.0202306679668412,4,6
33,8,0.0122747846670483,4,8
71,6,0.0135104749726675,4,2
72,4,0.00930627477033144,4,8
32,3,0.00886489264589043,2,1
74,6,0.0110969391869284,4,1
41,5,0.0109303504177001,4,6
54,5,0.0105606448544551,3,13
69,5,0.0110421503294121,3,6
78,7,0.0124833154550855,4,4
29,4,0.0107809848201554,3,3
67,4,0.00933434917084713,3,14
52,6,0.0111885137825564,4,4
73,6,0.012902651789936,4,10
40,5,0.00877669030355395,4,9
58,3,0.00820608110437421,3,6
77,6,0.012655126714693,3,6
79,4,0.00702733602621837,3,13
85,8,0.012174952807091,4,6
76,7,0.0149317080422429,4,2
82,6,0.0101779631424159,4,14
59,4,0.00446679951970716,4,3
81,9,0.0187737930769536,4,3
49,3,0.00457898065734554,3,6
86,8,0.0124129288022998,4,8
65,4,0.00822181937553804,4,11
88,4,0.00954660328889752,4,6
68,4,0.00814483624632758,3,8
92,7,0.0112652530716761,4,10
64,4,0.00722832867557455,4,15
89,8,0.0159613113735151,4,4
91,8,0.0177905250519448,4,4
96,5,0.0105891175331732,4,4
62,2,0.00525247902421933,2,5
63,2,0.00585386214302956,2,13
66,3,0.00758804336540397,3,12
70,3,0.00775619560381578,3,5
75,3,0.00640974278989179,3,9
80,3,0.00545263301894135,3,12
83,7,0.0122718023697449,4,4
84,5,0.0121370678127864,4,6
87,3,0.00633262213449176,3,4
90,7,0.0143213862961134,4,3
93,5,0.0102308233194386,4,6
94,2,0.00478598531800443,2,10
95,4,0.00783456433998097,4,15
97,2,0.00356982042552365,2,2
98,1,0.00274888234903626,1,6
99,4,0.00774594871184879,3,3
100,8,0.0176323359035783,4,7
