node,degree,pagerank,kcore,membership_infomap
1,11,0.0203372724559692,3,1
2,15,0.0251073279581949,3,2
3,19,0.0251559219216688,3,3
4,5,0.00748580191253349,3,1
5,18,0.0268181112780333,3,4
6,20,0.0263058799321041,3,2
7,22,0.0301237473809741,3,2
10,21,0.0325309387339259,3,5
9,8,0.010017609469635,3,4
13,8,0.0138174395478689,3,3
11,15,0.0231562160218077,3,6
8,20,0.0332102685707689,3,2
14,12,0.0184156965346413,3,3
15,8,0.0126730552516554,3,2
12,5,0.00702624200690856,3,7
24,5,0.0105744514164779,3,2
23,8,0.0152800814695168,3,8
22,6,0.00857622105640813,3,9
18,4,0.00492614812175968,3,4
25,7,0.0095380898902934,3,2
16,10,0.0132575799205637,3,3
19,8,0.0129387728458831,3,2
29,6,0.0109863356294532,3,1
28,5,0.00917871512793572,3,5
27,4,0.00623987338963815,3,8
34,7,0.0143724787234163,3,3
31,5,0.00768348253062029,3,5
33,6,0.00907997249609771,3,10
35,5,0.0095505932960062,3,11
26,7,0.0142784016115724,3,8
20,5,0.00598673745266261,3,2
36,4,0.0062994099371691,3,6
32,6,0.00882393303830785,3,12
30,6,0.0118030041662177,3,1
40,4,0.00687288607213636,3,12
38,5,0.0116388288894265,3,11
37,7,0.0108688729506818,3,6
43,8,0.0145522604980216,3,5
46,7,0.00921295159197254,3,4
45,7,0.0132372387174213,3,12
50,6,0.00840706618376352,3,5
39,5,0.0104112695215697,3,7
41,5,0.0100038066611169,3,13
44,6,0.00913166984103825,3,13
53,5,0.0111864027980313,3,5
55,5,0.0105190203507588,3,13
58,5,0.00932140477660193,3,14
51,4,0.0068080870487079,3,4
60,4,0.00907379039327907,3,3
59,5,0.00949358358712068,3,2
52,4,0.00702529541202493,3,9
68,4,0.00963306552356094,3,10
69,4,0.00727111815490726,3,9
66,5,0.0100496067505004,3,13
71,8,0.0142924712219737,3,13
49,4,0.00743719808851909,3,2
65,4,0.00442962097242835,3,2
48,4,0.0087024510808706,3,8
73,6,0.0122011470927585,3,2
78,5,0.00741353130108789,3,2
84,5,0.00783212303731988,3,5
61,4,0.0090126822635235,3,14
42,4,0.00785229407166917,3,3
57,5,0.0098167044996784,3,3
91,4,0.00463431174679568,3,6
72,4,0.00810865628020752,3,9
82,4,0.00973309122369726,3,2
79,4,0.00592603684537182,3,8
98,4,0.00581927674204576,3,15
17,3,0.00515619586233189,3,6
21,3,0.00601683048169385,3,2
47,3,0.00682613390608212,3,11
54,3,0.00596724352299107,3,7
56,3,0.00639085200122624,3,5
62,3,0.00659613565951418,3,5
63,3,0.00628299284490261,3,3
64,3,0.00490085237243158,3,8
67,3,0.00642948034059476,3,12
70,3,0.00558428314390486,3,10
74,3,0.00496088707098632,3,1
75,3,0.00821165750383285,3,13
76,3,0.00488007741093722,3,2
77,3,0.0068507796705711,3,13
80,3,0.00455519159300053,3,2
81,3,0.00504087016910966,3,13
83,3,0.00429879576810793,3,2
85,3,0.00503518293904848,3,6
86,3,0.00487098689713039,3,1
87,3,0.00470361815431082,3,13
88,3,0.00747083925662373,3,7
89,3,0.00758636344114928,3,14
90,3,0.00440004584645079,3,13
92,3,0.00449415663709357,3,5
93,3,0.0058263716019415,3,3
94,3,0.00581371357305251,3,12
95,3,0.00644128887720746,3,9
96,3,0.00438552103537915,3,11
97,3,0.00636061009892039,3,2
99,3,0.00683594752452218,3,15
100,3,0.00734046150767255,3,1
