node,degree,pagerank,kcore,membership_infomap
V1,4,0.00863232140205545,3,1
V2,5,0.0118356547207453,3,2
V3,6,0.012158861606387,3,3
V4,2,0.00747525867445435,1,4
V5,6,0.0117818657238826,3,5
V6,4,0.00824138797582452,3,3
V7,10,0.0186901093535351,3,1
V8,7,0.0140821608761859,3,6
V9,4,0.00889949349211765,3,7
V10,5,0.0103782747854991,3,3
V11,5,0.00997502145371248,3,3
V12,5,0.0109137492265453,3,8
V13,5,0.0106315400789112,3,7
V14,8,0.0169404961604229,3,9
V15,3,0.00726262477614857,3,2
V16,6,0.0123697456844381,3,10
V17,2,0.00513466343523118,2,11
V18,5,0.0100673806628993,3,3
V19,5,0.0102478690599521,3,5
V20,5,0.0100901191168676,3,12
V21,4,0.00912385294941582,3,3
V22,3,0.00670336532708754,3,12
V23,5,0.0107452351225224,3,13
V24,7,0.0134074788970643,3,3
V25,3,0.00679880620397421,3,5
V26,4,0.00828269390842478,3,1
V27,5,0.0101248201944662,3,3
V28,1,0.00342635279828347,1,9
V29,6,0.0122916402483828,3,1
V30,4,0.00906530298095685,3,3
V31,7,0.0136872431398207,3,10
V32,6,0.0128906442448034,3,10
V33,8,0.0154197860541891,3,9
V34,2,0.00489026435142217,2,13
V35,3,0.00668652252074205,3,13
V36,2,0.00578182362029318,2,6
V37,1,0.0036397549302603,1,8
V38,6,0.0122047137710888,3,5
V39,2,0.00506799951349583,2,10
V40,8,0.0152769087754748,3,1
V41,1,0.00342016766836973,1,3
V42,2,0.0054172229784564,2,7
V43,2,0.0048959482853899,2,1
V44,6,0.0123283574957641,3,12
V45,4,0.00868088878667426,3,2
V46,6,0.0122531508038858,3,1
V47,4,0.0088092266445967,3,10
V48,3,0.00738534952793339,2,7
V49,5,0.0103875282776873,3,3
V50,5,0.0104824135799833,3,13
V51,3,0.00681158217582506,3,1
V52,7,0.0143444404529891,3,10
V53,3,0.00742349138549613,3,2
V54,5,0.0112951039315866,3,3
V55,3,0.00675125314932907,3,4
V56,4,0.00869194211646443,3,13
V57,2,0.00525306685428213,2,13
V58,5,0.0125867937074135,3,8
V59,4,0.00849556842427402,3,7
V60,5,0.0106316494223686,3,5
V61,6,0.0123118029203094,3,11
V62,3,0.0072309553293235,3,8
V63,1,0.00329992771704494,1,9
V64,4,0.00859121414600539,3,5
V65,5,0.0104096434024278,3,5
V66,6,0.0121881721028221,3,3
V67,1,0.0046769849366431,1,4
V68,3,0.00698565797377076,3,5
V69,4,0.00895101190153338,3,8
V70,5,0.0101756055663699,3,1
V71,7,0.0138747329359895,3,12
V72,5,0.0100933648123068,3,12
V73,3,0.0074330056408844,2,6
V74,5,0.0099636908338662,3,5
V75,5,0.0102916582549599,3,6
V76,3,0.00767931301897387,2,6
V77,4,0.00851203220335694,3,10
V78,3,0.00682084670564688,3,4
V79,5,0.0114663320846892,3,2
V80,7,0.0140677762346782,3,13
V81,4,0.0087101452122777,3,7
V82,6,0.0141163869057015,3,4
V83,3,0.00674307003090581,3,11
V84,4,0.00825362041537381,3,9
V85,4,0.00861676904063872,3,6
V86,9,0.0171166848728229,3,9
V87,5,0.0113314870487263,3,9
V88,5,0.0105958059954394,3,12
V89,7,0.0137899307505063,3,9
V90,5,0.0107909411814039,3,2
V91,8,0.0158309118124084,3,13
V92,4,0.00898124581795093,3,11
V93,8,0.0162461054015681,3,6
V94,8,0.0161053734203737,3,9
V95,7,0.0141678499262742,3,1
V96,8,0.0162825470212891,3,4
V97,10,0.019466265688655,3,1
V98,3,0.0077859778325001,2,7
V99,3,0.00706421039725647,3,4
V100,2,0.00531198901957164,2,2
