node,degree,pagerank,pagerank_norm,kcore,membership_infomap
1,4,0.010582546212331,0.448086564487471,3,1
3,6,0.00675796856541702,0.215257911256371,3,2
5,6,0.0091102797205549,0.358459458928746,3,3
7,10,0.0149734340607536,0.715390460137746,3,4
2,5,0.0149258370874727,0.712492901188769,3,5
11,5,0.00761020458840503,0.267139447934659,3,2
8,7,0.0160308208849509,0.779760953549169,3,4
6,4,0.00859087761531531,0.326839838721555,3,2
13,5,0.0092111076972302,0.364597559441955,3,6
18,5,0.00973374233436859,0.396413966358165,3,2
24,7,0.0159397613356084,0.774217525177582,3,2
26,4,0.00753698576556848,0.262682108723373,3,4
21,4,0.0095992239907319,0.38822489878646,3,7
20,5,0.00619290191916493,0.180858372698474,3,8
14,8,0.0148999452931918,0.710916687512721,3,3
16,6,0.0112915544918911,0.491248831827734,3,8
23,5,0.0105752840891118,0.447644468516412,3,9
25,3,0.00613137277935303,0.177112665831094,3,9
31,7,0.0114339221447931,0.499915741470841,3,9
32,6,0.0102428252299656,0.427405384472132,3,10
29,6,0.0142114374115995,0.66900242204096,3,1
40,8,0.0196485943949725,1,3,2
47,4,0.00801540630436707,0.291806895826716,3,6
10,5,0.0117114038911318,0.516807986121272,3,1
30,4,0.00944489288741923,0.378829690673755,3,2
33,8,0.0151516702362459,0.726240936328344,3,3
35,3,0.00783639150187404,0.280909019192805,3,11
12,5,0.0113997749191205,0.497836962243715,3,7
46,6,0.00768721254429277,0.271827458040008,3,8
39,2,0.00380098655666001,0.0352458413529098,2,10
41,1,0.00478685809769853,0.0952627018666671,1,12
9,4,0.00794208149563554,0.287343104516539,3,6
49,5,0.00885105837934267,0.342678852196418,3,2
37,1,0.00471775359822392,0.0910558301463703,1,7
53,3,0.00721266728520259,0.24293858617717,3,10
19,5,0.0132911566629607,0.612978529449062,3,12
22,3,0.00815405338704227,0.300247308471949,3,12
50,5,0.0152622576412201,0.732973161149363,3,9
58,5,0.0169927399604078,0.838319660818888,3,7
60,5,0.0127788676293334,0.581791931404502,3,12
64,4,0.00726205314484684,0.245945047086366,3,9
27,5,0.0151057132967702,0.723443217648635,3,2
54,5,0.0114297291854912,0.499660486863027,3,12
4,2,0.00548840457594518,0.137970717440881,1,13
38,6,0.0130656462553813,0.599250141811625,3,9
59,4,0.00956408341598585,0.386085647489395,3,11
44,6,0.0169398181090825,0.835097939492217,3,13
36,2,0.00357887870178359,0.0217245907738678,2,14
72,5,0.00993493449842167,0.408661933302941,3,14
73,3,0.00817487961228619,0.301515145713884,2,14
52,7,0.0108599478883635,0.464973934701231,3,8
55,3,0.00816210476226541,0.300737451704202,3,11
65,5,0.00864810645331385,0.330323756295548,3,9
15,3,0.00873129669928127,0.335388125415151,3,5
68,3,0.00558847052365377,0.144062427948597,3,10
34,2,0.00385524916017225,0.0385491835943107,2,9
56,4,0.00643375363051712,0.195520692243165,3,9
79,5,0.0111849869817552,0.484761325976424,3,10
61,6,0.0151512455450314,0.726215082419061,3,9
75,5,0.0100155413032456,0.413569030384249,3,14
84,4,0.00829308524402041,0.308711145006307,3,14
28,1,0.00359088141557413,0.0224552794786002,1,3
69,4,0.00940309431858561,0.376285120949469,3,7
71,7,0.0137247806907948,0.639376241230577,3,8
86,9,0.0169180186267397,0.833770853318639,3,3
45,4,0.0122155089511644,0.547496368748065,3,5
80,7,0.0115722762875917,0.508338320827471,3,9
90,5,0.00977103555027352,0.398684263900904,3,5
17,2,0.00518842051602538,0.119708600389006,2,5
74,5,0.0124452818969175,0.561484246743379,3,9
85,4,0.00801703727691473,0.291906184474192,3,4
91,8,0.0116427793680354,0.51263033390285,3,9
42,2,0.0034987152176633,0.0168444817084655,2,12
66,6,0.0167425653315032,0.823089790412819,3,12
51,3,0.00466139107373391,0.0876246511035538,3,7
92,4,0.0138520214871927,0.647122273863817,3,5
82,6,0.0123321677430304,0.554598201134617,3,13
43,2,0.00514135962998769,0.116843676800683,2,1
70,5,0.010324539961587,0.432379928766691,3,11
87,5,0.0103300905248634,0.432717830174802,3,3
96,8,0.0163095753244638,0.79673067588867,3,11
48,3,0.0100512875255052,0.415745151659634,2,6
57,2,0.00445221265384349,0.0748905051966472,2,9
62,3,0.00818911867812141,0.302381976728377,3,7
63,1,0.00453828009521733,0.0801300292205056,1,3
67,1,0.00322201805293717,0,1,13
76,3,0.00618963276451484,0.180659356507758,2,4
77,4,0.00845506028179443,0.318571692597075,3,9
78,3,0.00632367314379156,0.188819327063139,3,11
81,4,0.00803234970325738,0.292838358411342,3,11
83,3,0.00805356063487085,0.294129615406824,3,13
88,5,0.0121173977091655,0.541523654777969,3,8
89,7,0.0110363360966785,0.475711912271372,3,3
93,8,0.0148304754210994,0.706687573018877,3,9
94,8,0.0161155788068717,0.784920758012131,3,12
95,7,0.0149801437684629,0.71579892673295,3,1
97,10,0.0177356671775222,0.883546809900058,3,11
98,3,0.00676128386547125,0.215459736638922,2,6
99,3,0.00818310642881251,0.302015969279003,3,1
100,2,0.00531548642087557,0.127443986156826,2,5
