file,n_nodes,n_edges,avg_path_len,diameter,global_density,size_giant_component,frac_giant_component,n_components,clustering_local_mean,clustering_global,assortativity,deg_mean,deg_median,deg_sd,kcore_max,Q_modularity,perc_targeted_50,perc_random_50,n_communities,largest_community_size,largest_community_id,network
network_1.graphml,100,231,3.08101422387137,5,0.0466666666666667,99,0.99,2,0.0508391053391053,0.0475746268656716,-0.0337714306692605,4.62,4,2.18248306367594,3,0.443900976368509,0.34,,12,19,5,1
network_10.graphml,100,294,2.60787878787879,4,0.0593939393939394,100,1,1,0.118636802881688,0.0891341256366723,-0.107175844247494,5.88,4,4.31412994376817,3,0,0.24,0.58,1,100,1,10
network_2.graphml,100,239,3.0359595959596,6,0.0482828282828283,100,1,1,0.0493681318681319,0.0466724286949006,-0.0197824935797954,4.78,5,2.26336658162753,3,0.436310638819348,0.32,,11,15,5,2
network_3.graphml,100,250,2.98505050505051,5,0.0505050505050505,100,1,1,0.0421269841269841,0.0320460147904684,-0.0865660600154372,5,5,2.09376177819693,3,0.413016,0.38,,11,21,2,3
network_4.graphml,100,294,2.63858585858586,4,0.0593939393939394,100,1,1,0.13744336034336,0.100746268656716,-0.115874445724661,5.88,5,4.44331298729116,3,0,0.3,,1,100,1,4
network_5.graphml,100,294,2.64626262626263,5,0.0593939393939394,100,1,1,0.12174301278357,0.10340370529944,-0.0512014337916685,5.88,4,4.23138824319472,3,0,0.3,,1,100,1,5
network_6.graphml,100,294,2.64565656565657,5,0.0593939393939394,100,1,1,0.124724158967967,0.0998702983138781,-0.093249858061348,5.88,4,4.2122476545225,3,0.0758017492711372,0.24,0.56,3,89,1,6
network_7.graphml,100,294,2.6949494949495,5,0.0593939393939394,100,1,1,0.117552854434568,0.110154125113327,0.0293739956779524,5.88,5,3.94733000158514,3,0.373999259567773,0.32,,8,26,2,7
network_8.graphml,100,294,2.59959595959596,5,0.0593939393939394,100,1,1,0.131698110064357,0.0975987606506584,-0.156568306659433,5.88,4,4.81428849752212,3,0,0.24,,1,100,1,8
network_9.graphml,100,294,2.56242424242424,4,0.0593939393939394,100,1,1,0.135647555948079,0.0917782026768642,-0.163195411654617,5.88,4,4.88303598225944,3,0,0.24,,1,100,1,9
