network,degree,Prob,gamma_exponent
network_1.graphml,2,0.09,1.20625044362926
network_1.graphml,3,0.16,1.20625044362926
network_1.graphml,4,0.17,1.20625044362926
network_1.graphml,5,0.24,1.20625044362926
network_1.graphml,6,0.11,1.20625044362926
network_1.graphml,7,0.08,1.20625044362926
network_1.graphml,8,0.07,1.20625044362926
network_1.graphml,9,0.01,1.20625044362926
network_1.graphml,10,0.02,1.20625044362926
network_10.graphml,3,0.34,1.75858320796087
network_10.graphml,4,0.18,1.75858320796087
network_10.graphml,5,0.14,1.75858320796087
network_10.graphml,6,0.09,1.75858320796087
network_10.graphml,7,0.05,1.75858320796087
network_10.graphml,8,0.02,1.75858320796087
network_10.graphml,9,0.04,1.75858320796087
network_10.graphml,10,0.01,1.75858320796087
network_10.graphml,11,0.03,1.75858320796087
network_10.graphml,12,0.03,1.75858320796087
network_10.graphml,13,0.01,1.75858320796087
network_10.graphml,14,0.02,1.75858320796087
network_10.graphml,16,0.01,1.75858320796087
network_10.graphml,18,0.01,1.75858320796087
network_10.graphml,24,0.01,1.75858320796087
network_10.graphml,25,0.01,1.75858320796087
network_2.graphml,2,0.14,1.48803975028338
network_2.graphml,3,0.12,1.48803975028338
network_2.graphml,4,0.18,1.48803975028338
network_2.graphml,5,0.25,1.48803975028338
network_2.graphml,6,0.11,1.48803975028338
network_2.graphml,7,0.06,1.48803975028338
network_2.graphml,8,0.04,1.48803975028338
network_2.graphml,9,0.03,1.48803975028338
network_2.graphml,10,0.02,1.48803975028338
network_2.graphml,12,0.01,1.48803975028338
network_3.graphml,2,0.08,1.08453284323093
network_3.graphml,3,0.17,1.08453284323093
network_3.graphml,4,0.19,1.08453284323093
network_3.graphml,5,0.18,1.08453284323093
network_3.graphml,6,0.1,1.08453284323093
network_3.graphml,7,0.11,1.08453284323093
network_3.graphml,8,0.09,1.08453284323093
network_3.graphml,9,0.03,1.08453284323093
network_3.graphml,12,0.01,1.08453284323093
network_4.graphml,3,0.31,1.7978627764174
network_4.graphml,4,0.19,1.7978627764174
network_4.graphml,5,0.18,1.7978627764174
network_4.graphml,6,0.08,1.7978627764174
network_4.graphml,7,0.06,1.7978627764174
network_4.graphml,8,0.07,1.7978627764174
network_4.graphml,10,0.01,1.7978627764174
network_4.graphml,11,0.01,1.7978627764174
network_4.graphml,12,0.01,1.7978627764174
network_4.graphml,15,0.02,1.7978627764174
network_4.graphml,18,0.01,1.7978627764174
network_4.graphml,19,0.01,1.7978627764174
network_4.graphml,20,0.02,1.7978627764174
network_4.graphml,21,0.01,1.7978627764174
network_4.graphml,22,0.01,1.7978627764174
network_5.graphml,3,0.35,1.55460175846154
network_5.graphml,4,0.21,1.55460175846154
network_5.graphml,5,0.06,1.55460175846154
network_5.graphml,6,0.18,1.55460175846154
network_5.graphml,7,0.02,1.55460175846154
network_5.graphml,8,0.04,1.55460175846154
network_5.graphml,9,0.01,1.55460175846154
network_5.graphml,10,0.01,1.55460175846154
network_5.graphml,11,0.01,1.55460175846154
network_5.graphml,12,0.02,1.55460175846154
network_5.graphml,13,0.02,1.55460175846154
network_5.graphml,14,0.02,1.55460175846154
network_5.graphml,15,0.01,1.55460175846154
network_5.graphml,20,0.02,1.55460175846154
network_5.graphml,24,0.01,1.55460175846154
network_5.graphml,28,0.01,1.55460175846154
network_6.graphml,3,0.37,1.74761220570063
network_6.graphml,4,0.16,1.74761220570063
network_6.graphml,5,0.13,1.74761220570063
network_6.graphml,6,0.1,1.74761220570063
network_6.graphml,7,0.06,1.74761220570063
network_6.graphml,8,0.02,1.74761220570063
network_6.graphml,9,0.01,1.74761220570063
network_6.graphml,11,0.04,1.74761220570063
network_6.graphml,12,0.02,1.74761220570063
network_6.graphml,13,0.02,1.74761220570063
network_6.graphml,14,0.02,1.74761220570063
network_6.graphml,16,0.01,1.74761220570063
network_6.graphml,17,0.01,1.74761220570063
network_6.graphml,18,0.01,1.74761220570063
network_6.graphml,22,0.01,1.74761220570063
network_6.graphml,26,0.01,1.74761220570063
network_7.graphml,3,0.32,1.71625276105583
network_7.graphml,4,0.25,1.71625276105583
network_7.graphml,5,0.09,1.71625276105583
network_7.graphml,6,0.09,1.71625276105583
network_7.graphml,7,0.06,1.71625276105583
network_7.graphml,8,0.03,1.71625276105583
network_7.graphml,9,0.02,1.71625276105583
network_7.graphml,10,0.03,1.71625276105583
network_7.graphml,11,0.01,1.71625276105583
network_7.graphml,12,0.02,1.71625276105583
network_7.graphml,13,0.01,1.71625276105583
network_7.graphml,14,0.01,1.71625276105583
network_7.graphml,15,0.01,1.71625276105583
network_7.graphml,17,0.02,1.71625276105583
network_7.graphml,21,0.02,1.71625276105583
network_7.graphml,26,0.01,1.71625276105583
network_8.graphml,3,0.36,1.51660868258734
network_8.graphml,4,0.21,1.51660868258734
network_8.graphml,5,0.09,1.51660868258734
network_8.graphml,6,0.1,1.51660868258734
network_8.graphml,7,0.07,1.51660868258734
network_8.graphml,8,0.05,1.51660868258734
network_8.graphml,11,0.02,1.51660868258734
network_8.graphml,13,0.03,1.51660868258734
network_8.graphml,14,0.03,1.51660868258734
network_8.graphml,15,0.01,1.51660868258734
network_8.graphml,16,0.01,1.51660868258734
network_8.graphml,31,0.01,1.51660868258734
network_8.graphml,37,0.01,1.51660868258734
network_9.graphml,3,0.38,1.71602476366068
network_9.graphml,4,0.17,1.71602476366068
network_9.graphml,5,0.12,1.71602476366068
network_9.graphml,6,0.08,1.71602476366068
network_9.graphml,7,0.07,1.71602476366068
network_9.graphml,8,0.05,1.71602476366068
network_9.graphml,9,0.01,1.71602476366068
network_9.graphml,10,0.03,1.71602476366068
network_9.graphml,12,0.01,1.71602476366068
network_9.graphml,13,0.01,1.71602476366068
network_9.graphml,14,0.01,1.71602476366068
network_9.graphml,16,0.01,1.71602476366068
network_9.graphml,19,0.01,1.71602476366068
network_9.graphml,20,0.01,1.71602476366068
network_9.graphml,23,0.01,1.71602476366068
network_9.graphml,26,0.01,1.71602476366068
network_9.graphml,27,0.01,1.71602476366068
